step,method,mse,rolling_mse
0,acl,0.3024744391441345,0.3024744391441345
1,acl,0.2955111563205719,0.2989927977323532
2,acl,0.29173383116722107,0.2965731422106425
3,acl,0.29257139563560486,0.2955727055668831
4,acl,0.28793445229530334,0.29404505491256716
5,acl,0.29605016112327576,0.29437923928101856
6,acl,0.29804304242134094,0.29490263972963604
7,acl,0.2961805462837219,0.2950623780488968
8,acl,0.30926528573036194,0.2966404789023929
9,acl,0.3121836483478546,0.2981947958469391
10,acl,0.311982661485672,0.299448238177733
11,acl,0.32236725091934204,0.3013581559062004
12,acl,0.3277311623096466,0.3033868487064655
13,acl,0.3286706507205963,0.3051928345646177
14,acl,0.33986741304397583,0.30750447312990825
15,acl,0.3467709422111511,0.3099586274474859
16,acl,0.3616313934326172,0.3129982019171995
17,acl,0.36513060331344604,0.3158944464392132
18,acl,0.3675767183303833,0.3186145660124327
19,acl,0.36677226424217224,0.3210224509239197
20,acl,0.38016924262046814,0.3238389648142315
21,acl,0.37799718976020813,0.3263007023117759
22,acl,0.39185941219329834,0.32915108100227686
23,acl,0.3963131606578827,0.33194950098792714
24,acl,0.40464502573013306,0.33485732197761536
25,acl,0.42912352085113525,0.3384829450112123
26,acl,0.43094736337661743,0.34190755309881987
27,acl,0.4250675439834595,0.3448775527732713
28,acl,0.43616095185279846,0.34802525618980673
29,acl,0.43746259808540344,0.35100650091965996
30,acl,0.4345559775829315,0.35370164532815257
31,acl,0.44838234782218933,0.3566604172810912
32,acl,0.4559868574142456,0.3596703094063383
33,acl,0.4398842751979828,0.3620295436943279
34,acl,0.4340566396713257,0.3640874607222421
35,acl,0.4318595230579376,0.36597001800934476
36,acl,0.423409640789032,0.3675224402466336
37,acl,0.3987157642841339,0.36834331719498886
38,acl,0.40546396374702454,0.36929512864504105
39,acl,0.4018799066543579,0.37010974809527397
40,acl,0.4160974323749542,0.37123139893136375
41,acl,0.41379937529563904,0.3722449221781322
42,acl,0.4224330484867096,0.37341208790623864
43,acl,0.43771132826805115,0.374873434278098
44,acl,0.44121482968330383,0.3763476875093248
45,acl,0.45229530334472656,0.3779987226361814
46,acl,0.45388734340667725,0.37961337414193663
47,acl,0.4491972327232361,0.3810630378623803
48,acl,0.45429566502571106,0.3825575812738769
49,acl,0.4745572507381439,0.3843975746631622
50,acl,0.4678460955619812,0.3860338201709822
51,acl,0.4733288288116455,0.3877125703371488
52,acl,0.4893004596233368,0.3896293229651901
53,acl,0.4874858856201172,0.39144148153287395
54,acl,0.5053051710128784,0.39351173043251036
55,acl,0.5013085603713989,0.3954366738242762
56,acl,0.5056895613670349,0.3973709350092369
57,acl,0.5010619163513184,0.39915871054961766
58,acl,0.5083481073379517,0.4010093782917928
59,acl,0.5196262001991272,0.4029863253235817
60,acl,0.524141252040863,0.40497247166320927
61,acl,0.5279979705810547,0.4069567539038197
