step,method,mse,rolling_mse
0,clser,0.34590455889701843,0.34590455889701843
1,clser,0.34063223004341125,0.34326839447021484
2,clser,0.33581069111824036,0.34078249335289
3,clser,0.3362373113632202,0.33964619785547256
4,clser,0.3315085470676422,0.3380186676979065
5,clser,0.33841097354888916,0.3380840520064036
6,clser,0.3404117226600647,0.33841657638549805
7,clser,0.33968132734298706,0.3385746702551842
8,clser,0.35107532143592834,0.3399636314974891
9,clser,0.3546435832977295,0.34143162667751314
10,clser,0.3522941470146179,0.3424191285263408
11,clser,0.3629678189754486,0.3441315193970998
12,clser,0.3665725886821747,0.3458577554959517
13,clser,0.36551663279533386,0.34726196101733614
14,clser,0.37544333934783936,0.34914071957270304
15,clser,0.38047024607658386,0.3510988149791956
16,clser,0.3911251425743103,0.35345330483773174
17,clser,0.392913281917572,0.3556455257866118
18,clser,0.3910684287548065,0.3575098891007273
19,clser,0.3868791162967682,0.35897835046052934
20,clser,0.39665040373802185,0.36077225775945754
21,clser,0.391564279794693,0.3621718951246955
22,clser,0.40135911107063293,0.36387568712234497
23,clser,0.4047097861766815,0.3655771079162757
24,clser,0.4095260500907898,0.36733506560325624
25,clser,0.43036797642707825,0.3697594083272494
26,clser,0.429993599653244,0.37199030430228625
27,clser,0.4258921444416046,0.37391537002154757
28,clser,0.4348146319389343,0.376015344570423
29,clser,0.43654751777648926,0.3780330836772919
30,clser,0.4327569305896759,0.37979836906156234
31,clser,0.44288596510887146,0.38176985643804073
32,clser,0.44899386167526245,0.3838069475058353
33,clser,0.43228214979171753,0.38523268874953775
34,clser,0.42784228920936584,0.38645010590553286
35,clser,0.42840227484703064,0.38761544393168557
36,clser,0.4176005423069,0.38842585199588053
37,clser,0.39653870463371277,0.3886393481179288
38,clser,0.40398988127708435,0.3890329515322661
39,clser,0.40124040842056274,0.3893381379544735
40,clser,0.4165898263454437,0.39000281328108255
41,clser,0.4177262485027313,0.3906628950720742
42,clser,0.425533264875412,0.3914738339047099
43,clser,0.4377424120903015,0.39252539249983703
44,clser,0.4428465664386749,0.39364364080958897
45,clser,0.45700502395629883,0.3950210621823435
46,clser,0.45863819122314453,0.39637461811938185
47,clser,0.45804306864738464,0.3976593775053819
48,clser,0.46225422620773315,0.39897763972379724
49,clser,0.48351114988327026,0.4006683099269867
50,clser,0.4779635965824127,0.4021839037829754
51,clser,0.4824512302875519,0.40372750621575576
52,clser,0.4968845844268799,0.40548518693672037
53,clser,0.49267223477363586,0.40709976189666325
54,clser,0.5068234801292419,0.40891292040998284
55,clser,0.5015718340873718,0.41056754386850763
56,clser,0.5062575936317444,0.41224631667137146
57,clser,0.5023783445358276,0.4138003171517931
58,clser,0.5078165531158447,0.4153938126766076
59,clser,0.5192180275917053,0.41712421625852586
60,clser,0.5255135297775269,0.4189010902506406
61,clser,0.526333212852478,0.42063386642163797
62,clser,0.5429672598838806,0.4225756663178641
63,clser,0.5184025168418884,0.42407296085730195
64,clser,0.5253883600234985,0.42563165930601266
65,clser,0.5190091133117676,0.4270464692151908
66,clser,0.5302347540855408,0.42858659286997214
67,clser,0.5436446070671082,0.43027862249051824
68,clser,0.5339393019676208,0.43178095117859217
