step,method,mse,rolling_mse
0,er,0.2957889437675476,0.2957889437675476
1,er,0.28912729024887085,0.29245811700820923
2,er,0.28461283445358276,0.28984302282333374
3,er,0.28430673480033875,0.288458950817585
4,er,0.28034719824790955,0.2868366003036499
5,er,0.28690165281295776,0.28684744238853455
6,er,0.2898465692996979,0.2872758890901293
7,er,0.28786587715148926,0.2873496375977993
8,er,0.30214765667915344,0.28899386194017196
9,er,0.30653926730155945,0.29074840247631073
10,er,0.30674463510513306,0.2922026054425673
11,er,0.31706807017326355,0.2942747275034587
12,er,0.3234085738658905,0.2965157926082611
13,er,0.32404381036758423,0.2984820795910699
14,er,0.33568862080574036,0.30096251567204796
15,er,0.3441825807094574,0.303663769736886
16,er,0.358808696269989,0.3069075889447156
17,er,0.3630647361278534,0.31002743045488995
18,er,0.36687132716178894,0.31301921449209513
19,er,0.3653790354728699,0.3156372055411339
20,er,0.3808348476886749,0.31874185516720727
21,er,0.3799283802509308,0.32152306085283106
22,er,0.39448440074920654,0.3246952930222387
23,er,0.3987583816051483,0.3277812550465266
24,er,0.40788525342941284,0.33098541498184203
25,er,0.43371137976646423,0.33493641362740445
26,er,0.43617239594459534,0.3386858944539671
27,er,0.43342605233192444,0.34206947152103695
28,er,0.44375893473625183,0.3455760047353547
29,er,0.4467404782772064,0.34894815385341643
30,er,0.44300174713134766,0.3519821407333497
31,er,0.4582212567329407,0.3553021131083369
32,er,0.46509072184562683,0.35862904064583057
33,er,0.44852399826049805,0.36127300998743844
34,er,0.443740576505661,0.3636292261736734
35,er,0.4395160377025604,0.3657371931605869
36,er,0.4276139438152313,0.36740953777287455
37,er,0.4006393551826477,0.3682840066520791
38,er,0.4049620032310486,0.36922446810282195
39,er,0.4019823670387268,0.37004341557621956
40,er,0.4140796661376953,0.3711174704679629
41,er,0.41031792759895325,0.3720508146853674
42,er,0.41883355379104614,0.37313878536224365
43,er,0.43184590339660645,0.37447303804484283
44,er,0.4348481595516205,0.37581470741166006
45,er,0.44549497961997986,0.3773294959379279
46,er,0.44767388701438904,0.3788261851097675
47,er,0.4442043900489807,0.38018823104600113
48,er,0.45171865820884705,0.3816480356819776
49,er,0.4723603427410126,0.3834622818231583
50,er,0.4654812216758728,0.38507049633007423
51,er,0.47052592039108276,0.386713869869709
