step,method,mse,rolling_mse
0,frozen,0.23579688370227814,0.23579688370227814
1,frozen,0.21285048127174377,0.22432368248701096
2,frozen,0.19410592317581177,0.21425109604994455
3,frozen,0.19219008088111877,0.2087358422577381
4,frozen,0.17381028831005096,0.2017507314682007
5,frozen,0.16873984038829803,0.19624891628821692
6,frozen,0.16662593185901642,0.19201706136975968
7,frozen,0.1727292537689209,0.18960608541965485
8,frozen,0.16300208866596222,0.18665008578035566
9,frozen,0.16997990012168884,0.18498306721448898
10,frozen,0.17339223623275757,0.18392935530705887
11,frozen,0.18572239577770233,0.18407877534627914
12,frozen,0.18781408667564392,0.1843661069869995
13,frozen,0.18434888124465942,0.18436487657683237
14,frozen,0.19295644760131836,0.18493764797846476
15,frozen,0.19075697660446167,0.18530135601758957
16,frozen,0.20169517397880554,0.18626569825060227
17,frozen,0.1902998834848404,0.18648981965250438
18,frozen,0.1971878856420517,0.1870528757572174
19,frozen,0.19508574903011322,0.1874545194208622
20,frozen,0.19148191809654236,0.18764630031018031
21,frozen,0.199290931224823,0.18817560171539133
22,frozen,0.19592644274234772,0.18851259480351987
23,frozen,0.18349093198776245,0.1883033588528633
24,frozen,0.21326017379760742,0.18930163145065307
25,frozen,0.21303972601890564,0.19021463508789355
26,frozen,0.2060202658176422,0.19080002881862498
27,frozen,0.21150197088718414,0.1915393838925021
28,frozen,0.21402281522750854,0.192314674628192
29,frozen,0.19530028104782104,0.19241419484217961
30,frozen,0.2002766728401184,0.19266782316469377
31,frozen,0.19777479767799377,0.1928274161182344
32,frozen,0.20375797152519226,0.1931586450699604
33,frozen,0.1641787588596344,0.19230629547553904
34,frozen,0.13286511600017548,0.19060797606195723
35,frozen,0.10572271049022675,0.18825005201829803
36,frozen,0.10508604347705841,0.18600237611177806
37,frozen,0.10718759149312973,0.18392830283233993
38,frozen,0.10430801659822464,0.1818867570314652
39,frozen,0.10382626205682755,0.17993524465709926
40,frozen,0.11368972808122635,0.17831950035037064
41,frozen,0.12473077327013016,0.17704357827703157
42,frozen,0.13301385939121246,0.17601963132619858
43,frozen,0.13548946380615234,0.17509849115528844
44,frozen,0.15188810229301453,0.1745827047361268
45,frozen,0.15321198105812073,0.17411812378660493
46,frozen,0.16214464604854584,0.17386336894111432
47,frozen,0.2006603479385376,0.17442163933689395
48,frozen,0.25833946466445923,0.17613424801704836
49,frozen,0.2575802206993103,0.1777631674706936
50,frozen,0.270547091960907,0.1795824601077566
51,frozen,0.24028433859348297,0.1807498039247898
52,frozen,0.2698967158794403,0.18243182113148132
53,frozen,0.2674253284931183,0.18400577497151163
54,frozen,0.299838662147522,0.1861118274656209
55,frozen,0.2775208652019501,0.1877441317109125
56,frozen,0.2998603284358978,0.18971108253064908
57,frozen,0.2974518835544586,0.19156868254830098
58,frozen,0.308219313621521,0.19354581188852504
59,frozen,0.32028648257255554,0.19565815639992554
60,frozen,0.32639673352241516,0.1978014117625893
61,frozen,0.33157995343208313,0.1999591301766134
62,frozen,0.3711041808128357,0.20267571828195027
63,frozen,0.34131351113319397,0.20484193379525095
64,frozen,0.3858828842639923,0.20762717918707774
65,frozen,0.4446600675582886,0.21121858658664155
66,frozen,0.4252352714538574,0.2144128654652567
67,frozen,0.4404712915420532,0.21773725408403313
68,frozen,0.44652003049850464,0.22105294649583707
69,frozen,0.44347283244132996,0.22423037343791552
70,frozen,0.45193108916282654,0.2274374257720692
71,frozen,0.5079322457313538,0.2313331871603926
72,frozen,0.5429482460021973,0.2356018865965817
73,frozen,0.5252386927604675,0.23951589749068827
74,frozen,0.5258648991584778,0.24333388417959212
75,frozen,0.48914846777915955,0.2465682865953759
76,frozen,0.5132663249969482,0.250031897483708
77,frozen,0.5224928259849548,0.25352498631064707
78,frozen,0.575928270816803,0.2576060405449022
79,frozen,0.5791075825691223,0.261624809820205
80,frozen,0.5858962535858154,0.2656281609778051
81,frozen,0.5725856423377991,0.2693715448968294
82,frozen,0.6128023266792297,0.273509265159268
83,frozen,0.6420386433601379,0.2778965196616593
84,frozen,0.7090251445770264,0.2829686211312518
85,frozen,0.80230712890625,0.28900744098910064
86,frozen,0.7552420496940613,0.29436645947996226
87,frozen,0.7331550121307373,0.299352693032812
88,frozen,0.6428302526473999,0.3032119914554478
89,frozen,0.6079421043395996,0.30659788159860507
90,frozen,0.4495040476322174,0.30816827902754584
91,frozen,0.346979022026062,0.3085901349297036
92,frozen,0.3212866485118866,0.30872665658112497
93,frozen,0.31446367502212524,0.3087876886921994
94,frozen,0.28221645951271057,0.3085079915429417
95,frozen,0.25887417793273926,0.3079909726511687
96,frozen,0.25704488158226013,0.3074657552174686
97,frozen,0.2466244101524353,0.3068449251657846
98,frozen,0.2519395649433136,0.30629032556757785
99,frozen,0.2592081129550934,0.305819503441453
100,frozen,0.257229208946228,0.3053384114167478
101,frozen,0.24713657796382904,0.30476780520642505
102,frozen,0.25859832763671875,0.3043195578513794
103,frozen,0.26105040311813354,0.3039035082866366
104,frozen,0.2612912654876709,0.30349767740283695
105,frozen,0.2559090256690979,0.30304872785817905
106,frozen,0.2752964496612549,0.30278936077222646
107,frozen,0.25231948494911194,0.3023220471071976
108,frozen,0.26890406012535095,0.30201546007066693
109,frozen,0.2817249894142151,0.30183100124651735
110,frozen,0.2967310845851898,0.30178505605137024
111,frozen,0.31499797105789185,0.30190302850678563
112,frozen,0.3031518757343292,0.3019140802521621
113,frozen,0.31472495198249817,0.3020264563199721
114,frozen,0.3201560378074646,0.3021841048546459
115,frozen,0.2985649108886719,0.3021529049066634
116,frozen,0.2930292785167694,0.30207492519392926
117,frozen,0.293107271194458,0.30199892812613716
118,frozen,0.2858874201774597,0.301863537303039
119,frozen,0.2847704589366913,0.30172109498331945
120,frozen,0.277362197637558,0.3015197817821148
121,frozen,0.3029227554798126,0.30153128156652215
122,frozen,0.2591750919818878,0.30118692230160643
123,frozen,0.2264203429222107,0.30058396601628873
124,frozen,0.22806690633296967,0.30000382953882215
125,frozen,0.2098662108182907,0.29928845161246875
126,frozen,0.16827376186847687,0.2982568398822011
127,frozen,0.1618182361125946,0.29719091329025105
