step,ms_per_step,samples_per_sec
0,519.6953999984544,61.574530003719815
1,2.467199999955483,12970.168612425987
2,2.040200008195825,15684.73672750252
3,2.033199998550117,15738.736977581806
4,2.07349999982398,15432.843020360015
5,2.1290000004228204,15030.53076263259
6,2.0820000063395128,15369.836648685266
7,2.361799997743219,13548.988072900795
8,2.071399998385459,15448.488956716335
9,2.06090000574477,15527.19681246049
10,2.0256999996490777,15797.008444262983
11,2.4558000004617497,13030.377064086337
12,2.1606000082101673,14810.70067499846
13,2.3563000140711665,13580.613592880756
14,2.0232000097166747,15816.528196083404
15,2.041200001258403,15677.052704424823
16,2.0853000023635104,15345.51381754698
17,2.1307999995769933,15017.833680473364
18,2.1246999967843294,15060.949803939875
19,4.189700004644692,7637.778352751957
20,4.896300000837073,6535.5472488469395
21,4.679100005887449,6838.922006312368
22,4.297599996789359,7446.016386798792
23,4.1668000048957765,7679.754238840751
24,4.443600002559833,7201.368255820888
25,2.1643999934894964,14784.697882210234
26,1.9234000064898282,16637.20489343215
27,1.967600008356385,16263.468115519516
28,1.9126999977743253,16730.276591852435
29,1.9268000032752752,16607.8471795748
30,2.032599993981421,15743.382906008459
31,1.9287999894004315,16590.62638731516
32,1.9355000113137066,16533.19546006111
33,1.902799995150417,16817.321884358313
34,1.92020001122728,16664.9306389429
35,1.8733000033535063,17082.154456154854
36,2.0083999988855794,15933.081068390835
37,2.2301999997580424,14348.488926316799
38,1.9191999890608713,16673.61410087266
39,1.9139999931212515,16718.91333072372
40,1.9659999961731955,16276.703999129077
41,1.912299994728528,16733.77612728737
42,1.9078000041190535,16773.24663534443
43,2.323900000192225,13769.955676816158
44,2.3655000113649294,13527.795327101061
45,1.963699993211776,16295.768249029548
46,2.0289999956730753,15771.315952804976
47,2.026699992711656,15789.214049971493
48,1.9131000008201227,16726.7785198275
49,2.092299997457303,15294.173894225707
50,1.9249999895691872,16623.37671345212
51,1.9808000070042908,16155.088795862814
52,2.0397999905981123,15687.812602948843
53,1.9543000089470297,16374.149236811134
54,1.9362000020919368,16527.218244719606
55,2.0474000048125163,15629.578941478167
56,1.9570000004023314,16351.558504558638
57,2.1932999952696264,14589.887415773319
58,1.9911999988835305,16070.711137978335
59,1.9327000045450404,16557.147992314945
60,1.9538999913493171,16377.50147995116
61,1.9406000064918771,16489.745384391736
62,2.296599996043369,13933.641058578018
63,1.9995999900856987,16003.200719474173
64,2.3618999985046685,13548.414420703404
65,2.061499995761551,15522.67769381134
66,1.96610001148656,16275.876004804522
67,1.9737000111490488,16213.203536119066
68,1.9558000058168545,16361.591116078846
69,1.9896000012522563,16083.63489136468
70,1.945800002431497,16445.677849733984
71,3.319399998872541,9640.296442389901
72,4.524000003584661,7073.386378126505
73,2.275200007716194,14064.697561301893
74,2.118399992468767,15105.740234972078
75,2.078999998047948,15392.01540646754
76,2.1543000038946047,14854.012877570205
77,2.0340000046417117,15732.546670095406
78,2.116200004820712,15121.444063464642
79,2.077100012684241,15406.09494226825
80,2.0182000007480383,15855.71300571763
81,2.114100003382191,15136.464665250265
82,2.2511999995913357,14214.641082893131
83,2.176900001359172,14699.802462226302
84,2.3342000058619305,13709.193693615654
85,2.1275000035529956,15041.128059487162
86,2.035099998465739,15724.043056422182
87,1.9914000004064292,16069.097114326127
88,1.9730000058189034,16218.955856879606
89,2.1680999925592914,14759.466864914391
90,2.7765000122599304,11525.301587862634
91,2.0259000011719763,15795.448927137622
92,2.1821999980602413,14664.100462123002
93,2.0952000049874187,15273.004927370719
94,2.2523999941768125,14207.068053068026
95,2.729400002863258,11724.188454030418
96,2.2955000022193417,13940.318000026866
97,2.473799992003478,12935.564760061252
98,3.962400005548261,8075.913576416496
99,2.258399996208027,14169.323438597987
100,2.2742000001017004,14070.882067790426
101,2.2907999955350533,13968.919182106896
102,2.2052999993320554,14510.497442385256
103,2.204500007792376,14515.763160302888
104,2.199900001869537,14546.115720171598
105,2.1884000016143546,14622.555280750325
106,2.7319999935571104,11713.03077432861
107,2.5117000041063875,12740.375023961096
108,2.2662999981548637,14119.931176831486
109,2.3164000012911856,13814.539795442439
110,2.2955000022193417,13940.318000026866
111,2.2782000014558434,14046.176797274587
112,2.403899998171255,13311.701828006035
113,2.2844000050099567,14008.05460069176
114,2.28909999714233,13979.293189440483
115,2.294100006110966,13948.825210217166
116,2.2693999926559627,14100.643387483762
117,2.3320000036619604,13722.126908126122
118,3.0131999956211075,10619.938950784406
119,2.406600004178472,13296.767200382212
120,2.3037000064505264,13890.697534573812
121,2.3381000064546242,13686.326466643815
122,2.6603000005707145,12028.718562994789
123,2.9249000072013587,10940.544948960036
124,2.4462000001221895,13081.514184613514
125,2.2834999981569126,14013.57566272312
