step,horizon,correction_norm
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,0.0
0,14,0.0
0,15,0.0
0,16,0.0
0,17,0.0
0,18,0.0
0,19,0.0
0,20,0.0
0,21,0.0
0,22,0.0
0,23,0.0
0,24,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.0
10,8,0.0
10,9,0.0
10,10,0.0
10,11,0.0
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
10,20,0.0
10,21,0.0
10,22,0.0
10,23,0.0
10,24,0.0
20,1,0.0
20,2,0.0
20,3,0.0
20,4,0.0
20,5,0.0
20,6,0.0
20,7,0.0
20,8,0.0
20,9,0.0
20,10,0.0
20,11,0.0
20,12,0.0
20,13,0.0
20,14,0.0
20,15,0.0
20,16,0.0
20,17,0.0
20,18,0.0
20,19,0.0
20,20,0.0
20,21,0.0
20,22,0.0
20,23,0.0
20,24,0.0
30,1,0.0
30,2,0.0
30,3,0.0
30,4,0.0
30,5,0.0
30,6,0.0
30,7,0.0
30,8,0.0
30,9,0.0
30,10,0.0
30,11,0.0
30,12,0.0
30,13,0.0
30,14,0.0
30,15,0.0
30,16,0.0
30,17,0.0
30,18,0.0
30,19,0.0
30,20,0.0
30,21,0.0
30,22,0.0
30,23,0.0
30,24,0.0
40,1,0.0
40,2,0.0
40,3,0.0
40,4,0.0
40,5,0.0
40,6,0.0
40,7,0.0
40,8,0.0
40,9,0.0
40,10,0.0
40,11,0.0
40,12,0.0
40,13,0.0
40,14,0.0
40,15,0.0
40,16,0.0
40,17,0.0
40,18,0.0
40,19,0.0
40,20,0.0
40,21,0.0
40,22,0.0
40,23,0.0
40,24,0.0
50,1,0.0
50,2,0.0
50,3,0.0
50,4,0.0
50,5,0.0
50,6,0.0
50,7,0.0
50,8,0.0
50,9,0.0
50,10,0.0
50,11,0.0
50,12,0.0
50,13,0.0
50,14,0.0
50,15,0.0
50,16,0.0
50,17,0.0
50,18,0.0
50,19,0.0
50,20,0.0
50,21,0.0
50,22,0.0
50,23,0.0
50,24,0.0
60,1,0.0
60,2,0.0
60,3,0.0
60,4,0.0
60,5,0.0
60,6,0.0
60,7,0.0
60,8,0.0
60,9,0.0
60,10,0.0
60,11,0.0
60,12,0.0
60,13,0.0
60,14,0.0
60,15,0.0
60,16,0.0
60,17,0.0
60,18,0.0
60,19,0.0
60,20,0.0
60,21,0.0
60,22,0.0
60,23,0.0
60,24,0.0
70,1,0.0
70,2,0.0
70,3,0.0
70,4,0.0
70,5,0.0
70,6,0.0
70,7,0.0
70,8,0.0
70,9,0.0
70,10,0.0
70,11,0.0
70,12,0.0
70,13,0.0
70,14,0.0
70,15,0.0
70,16,0.0
70,17,0.0
70,18,0.0
70,19,0.0
70,20,0.0
70,21,0.0
70,22,0.0
70,23,0.0
70,24,0.0
80,1,0.2456025630235672
80,2,0.2699389159679413
80,3,0.2617186903953552
80,4,0.25086578726768494
80,5,0.30736979842185974
80,6,0.3512127101421356
80,7,0.34797829389572144
80,8,0.39871856570243835
80,9,0.344825804233551
80,10,0.2932569086551666
80,11,0.23982442915439606
80,12,0.15155252814292908
80,13,0.11287768185138702
80,14,0.08600746095180511
80,15,0.15025979280471802
80,16,0.18984155356884003
80,17,0.15011237561702728
80,18,0.1435348093509674
80,19,0.11762461811304092
80,20,0.10264620184898376
80,21,0.15075081586837769
80,22,0.17164626717567444
80,23,0.13799983263015747
80,24,0.15256358683109283
90,1,0.13967037200927734
90,2,0.11659538000822067
90,3,0.1410994678735733
90,4,0.14527159929275513
90,5,0.1897263377904892
90,6,0.17012248933315277
90,7,0.17091374099254608
90,8,0.17688417434692383
90,9,0.12905898690223694
90,10,0.14817966520786285
90,11,0.20524102449417114
90,12,0.13197627663612366
90,13,0.12322287261486053
90,14,0.18876463174819946
90,15,0.05623742938041687
90,16,0.12542439997196198
90,17,0.13097955286502838
90,18,0.10903513431549072
90,19,0.17444702982902527
90,20,0.12059254199266434
90,21,0.09045875817537308
90,22,0.07133161276578903
90,23,0.06487039476633072
90,24,0.09527678042650223
100,1,0.15401330590248108
100,2,0.08477640151977539
100,3,0.11621002852916718
100,4,0.12537558376789093
100,5,0.18797752261161804
100,6,0.17924870550632477
100,7,0.16784235835075378
100,8,0.16124886274337769
100,9,0.20064546167850494
100,10,0.2304776906967163
100,11,0.14586424827575684
100,12,0.12017787247896194
100,13,0.1106877326965332
100,14,0.12187039852142334
100,15,0.21510493755340576
100,16,0.2880687415599823
100,17,0.28803378343582153
100,18,0.2851504683494568
100,19,0.32989203929901123
100,20,0.37855327129364014
100,21,0.42918771505355835
100,22,0.40346649289131165
100,23,0.3917684853076935
100,24,0.3693353533744812
110,1,0.40633919835090637
110,2,0.4159948527812958
110,3,0.32141759991645813
110,4,0.37108927965164185
110,5,0.3523615002632141
110,6,0.3685723841190338
110,7,0.29709360003471375
110,8,0.3210533857345581
110,9,0.282863050699234
110,10,0.2257806956768036
110,11,0.21763086318969727
110,12,0.1583845019340515
110,13,0.17872409522533417
110,14,0.15613538026809692
110,15,0.17543481290340424
110,16,0.17369313538074493
110,17,0.2029581069946289
110,18,0.18213243782520294
110,19,0.22067971527576447
110,20,0.20809927582740784
110,21,0.19182537496089935
110,22,0.27194392681121826
110,23,0.2828708589076996
110,24,0.26325151324272156
120,1,0.27264198660850525
120,2,0.29813751578330994
120,3,0.27586907148361206
120,4,0.23671621084213257
120,5,0.28236687183380127
120,6,0.26384028792381287
120,7,0.3088562488555908
120,8,0.26687392592430115
120,9,0.3224279284477234
120,10,0.2306079864501953
120,11,0.19426682591438293
120,12,0.23158231377601624
120,13,0.17180606722831726
120,14,0.17677772045135498
120,15,0.13657419383525848
120,16,0.147142231464386
120,17,0.177030548453331
120,18,0.1552290916442871
120,19,0.1666678637266159
120,20,0.08043430745601654
120,21,0.08238069713115692
120,22,0.10744978487491608
120,23,0.12543480098247528
120,24,0.08750516921281815
130,1,0.23766417801380157
130,2,0.19477339088916779
130,3,0.14701922237873077
130,4,0.11452291905879974
130,5,0.06310716271400452
130,6,0.1797252744436264
130,7,0.14380128681659698
130,8,0.1962873935699463
130,9,0.16607975959777832
130,10,0.20096877217292786
130,11,0.20344160497188568
130,12,0.2139822095632553
130,13,0.20083560049533844
130,14,0.22935713827610016
130,15,0.22779005765914917
130,16,0.202504500746727
130,17,0.2558741271495819
130,18,0.24650295078754425
130,19,0.2830866277217865
130,20,0.2613917291164398
130,21,0.30023953318595886
130,22,0.2872174084186554
130,23,0.2346830666065216
130,24,0.20834599435329437
140,1,0.08455409109592438
140,2,0.11531490087509155
140,3,0.1647646129131317
140,4,0.1168915256857872
140,5,0.12365665286779404
140,6,0.1452261507511139
140,7,0.13573244214057922
140,8,0.09679584205150604
140,9,0.11130096018314362
140,10,0.04522021487355232
140,11,0.0469830222427845
140,12,0.1632731854915619
140,13,0.14463502168655396
140,14,0.1547795832157135
140,15,0.20701901614665985
140,16,0.1787676066160202
140,17,0.21423345804214478
140,18,0.17308630049228668
140,19,0.15221364796161652
140,20,0.17780567705631256
140,21,0.11597362160682678
140,22,0.1439569592475891
140,23,0.08183446526527405
140,24,0.12863992154598236
150,1,0.2019781470298767
150,2,0.21454910933971405
150,3,0.16306079924106598
150,4,0.13544952869415283
150,5,0.15649262070655823
150,6,0.10558607429265976
150,7,0.1393219381570816
150,8,0.08631999790668488
150,9,0.18478108942508698
150,10,0.14162783324718475
150,11,0.173268124461174
150,12,0.14719267189502716
150,13,0.14579203724861145
150,14,0.157518208026886
150,15,0.13751786947250366
150,16,0.11848807334899902
150,17,0.1271549016237259
150,18,0.1345357447862625
150,19,0.14213724434375763
150,20,0.14933665096759796
150,21,0.1760827898979187
150,22,0.16544435918331146
150,23,0.16861103475093842
150,24,0.11768291890621185
160,1,0.3288690149784088
160,2,0.3507080078125
160,3,0.34006765484809875
160,4,0.3409408926963806
160,5,0.3560773730278015
160,6,0.26740559935569763
160,7,0.20372292399406433
160,8,0.24181483685970306
160,9,0.20668326318264008
160,10,0.18550606071949005
160,11,0.29859447479248047
160,12,0.23168784379959106
160,13,0.181649848818779
160,14,0.1576319932937622
160,15,0.10744614899158478
160,16,0.05465111881494522
160,17,0.10978038609027863
160,18,0.09889157116413116
160,19,0.09874345362186432
160,20,0.10750279575586319
160,21,0.10339701920747757
160,22,0.11000043898820877
160,23,0.1066969633102417
160,24,0.08752618730068207
170,1,0.3318435251712799
170,2,0.2954047918319702
170,3,0.29534414410591125
170,4,0.30065974593162537
170,5,0.3105650246143341
170,6,0.24172239005565643
170,7,0.18725863099098206
170,8,0.186471089720726
170,9,0.16531315445899963
170,10,0.1703602373600006
170,11,0.23794429004192352
170,12,0.16353265941143036
170,13,0.14266273379325867
170,14,0.13826310634613037
170,15,0.07114770263433456
170,16,0.0577520988881588
170,17,0.11745527386665344
170,18,0.08641587942838669
170,19,0.10519254952669144
170,20,0.13663384318351746
170,21,0.17361460626125336
170,22,0.1716727465391159
170,23,0.12998062372207642
170,24,0.12559853494167328
180,1,0.49912333488464355
180,2,0.5730380415916443
180,3,0.5277134776115417
180,4,0.49178650975227356
180,5,0.42890363931655884
180,6,0.38670939207077026
180,7,0.3365606367588043
180,8,0.3159673810005188
180,9,0.3010300099849701
180,10,0.24558211863040924
180,11,0.2814594507217407
180,12,0.2615728974342346
180,13,0.26305752992630005
180,14,0.2706414759159088
180,15,0.20350205898284912
180,16,0.15564820170402527
180,17,0.19102998077869415
180,18,0.216182142496109
180,19,0.1865321546792984
180,20,0.15995581448078156
180,21,0.1830739974975586
180,22,0.11009708046913147
180,23,0.06016020104289055
180,24,0.07149478793144226
190,1,0.25004714727401733
190,2,0.20367659628391266
190,3,0.16904878616333008
190,4,0.21488401293754578
190,5,0.22489772737026215
190,6,0.22565419971942902
190,7,0.16078928112983704
190,8,0.19975733757019043
190,9,0.17517918348312378
190,10,0.13342252373695374
190,11,0.11635202914476395
190,12,0.10074218362569809
190,13,0.05803174898028374
190,14,0.08669382333755493
190,15,0.10573607683181763
190,16,0.05277086794376373
190,17,0.09484279155731201
190,18,0.05747869238257408
190,19,0.0651477798819542
190,20,0.12487546354532242
190,21,0.10762669891119003
190,22,0.18530921638011932
190,23,0.13853731751441956
190,24,0.11603260785341263
200,1,0.16470849514007568
200,2,0.13752441108226776
200,3,0.11361489444971085
