horizon,metric,value
1,correction_norm,0.1772869297828665
1,mse_improve,-0.009186046741547058
2,correction_norm,0.17489539855278446
2,mse_improve,-0.007513058424509191
3,correction_norm,0.1720980126604838
3,mse_improve,-0.007801299997998575
4,correction_norm,0.16717271179615617
4,mse_improve,-0.006171502240995164
5,correction_norm,0.1611608749565799
5,mse_improve,-0.004486471166664492
6,correction_norm,0.15791796692678314
6,mse_improve,-0.0040402893907027755
7,correction_norm,0.1542523903087978
7,mse_improve,-0.003249455925395118
8,correction_norm,0.15487246774827207
8,mse_improve,-0.0033995599371944903
9,correction_norm,0.15393183329938503
9,mse_improve,-0.002496900366482378
10,correction_norm,0.1502918364068613
10,mse_improve,-0.0008551135442779158
11,correction_norm,0.14990214214885833
11,mse_improve,-0.0015585666931158379
12,correction_norm,0.15072228404781304
12,mse_improve,-0.0025959988770641526
13,correction_norm,0.15057041605400898
13,mse_improve,-0.0025036876194369723
14,correction_norm,0.15433701855581705
14,mse_improve,-0.00353402266884503
15,correction_norm,0.14814241813103643
15,mse_improve,-0.002708342883028668
16,correction_norm,0.14421147092085052
16,mse_improve,-0.0023647504726701106
17,correction_norm,0.14643478690006656
17,mse_improve,-0.0027206694338616933
18,correction_norm,0.1386268037239123
18,mse_improve,-0.0026324396108476865
19,correction_norm,0.14317468311320586
19,mse_improve,-0.003640447783623807
20,correction_norm,0.14257424174602634
20,mse_improve,-0.003972489154181991
21,correction_norm,0.14176182497899692
21,mse_improve,-0.004419671231061186
22,correction_norm,0.13755130572552954
22,mse_improve,-0.0030812047866887863
23,correction_norm,0.13504025502624953
23,mse_improve,-0.003052277485724632
24,correction_norm,0.13515970970371555
24,mse_improve,-0.0031950244575009033
