step,method,mse,rolling_mse
0,mir,0.2176647037267685,0.2176647037267685
1,mir,0.1984560340642929,0.2080603688955307
2,mir,0.19665738940238953,0.2042593757311503
3,mir,0.20694546401500702,0.2049308978021145
4,mir,0.18804791569709778,0.20155430138111113
5,mir,0.1827544867992401,0.19842099895079932
6,mir,0.18254999816417694,0.19615371312413896
7,mir,0.17948462069034576,0.19407007656991482
8,mir,0.17253120243549347,0.19167686833275688
9,mir,0.18242600560188293,0.1907517820596695
10,mir,0.18542027473449707,0.1902670995755629
11,mir,0.19696129858493805,0.19082494949301085
12,mir,0.20176762342453003,0.19166669364158923
13,mir,0.1992952972650528,0.19221159390040807
14,mir,0.2152417153120041,0.19374693532784779
15,mir,0.22243326902389526,0.19553983118385077
16,mir,0.22621241211891174,0.19734410065061905
17,mir,0.21800009906291962,0.1984916561179691
18,mir,0.22384057939052582,0.19982580997441945
19,mir,0.22854609787464142,0.20126182436943055
20,mir,0.23945845663547516,0.20308071162019456
21,mir,0.24254468083381653,0.20487452840263193
22,mir,0.2376389503479004,0.20629906848720883
23,mir,0.2479209452867508,0.2080333133538564
24,mir,0.26363542675971985,0.21025739789009093
25,mir,0.2724313735961914,0.21264870464801788
26,mir,0.2783023416996002,0.21508032083511353
27,mir,0.27553555369377136,0.2172394362943513
28,mir,0.3056841492652893,0.22028925398300434
29,mir,0.32431864738464355,0.22375690042972565
30,mir,0.3436388373374939,0.22762405968481494
31,mir,0.3584180176258087,0.231711370870471
32,mir,0.39072349667549133,0.2365299201372898
33,mir,0.3563879728317261,0.2400551569812438
34,mir,0.3308514654636383,0.24264933722359794
35,mir,0.27984827756881714,0.24368264112207624
36,mir,0.2562067210674286,0.24402112976924792
37,mir,0.1821608543395996,0.24239322778425718
38,mir,0.16476894915103912,0.2404028616654567
39,mir,0.1565944403409958,0.2383076511323452
40,mir,0.13426193594932556,0.23576995076202764
41,mir,0.1273152232170105,0.23318769534428915
42,mir,0.1278536021709442,0.23073806527049043
43,mir,0.15433862805366516,0.22900171442465347
44,mir,0.16965711116790771,0.22768294546339246
45,mir,0.15469761192798615,0.22609630777784015
46,mir,0.15327025949954987,0.22454681738894036
47,mir,0.17900770902633667,0.22359808596471945
48,mir,0.20518368482589722,0.22322228185984552
49,mir,0.2069908082485199,0.22289765238761902
50,mir,0.2163926064968109,0.2227701024681914
51,mir,0.21333104372024536,0.22258858210765398
52,mir,0.2459920346736908,0.22303015668437165
53,mir,0.24945387244224548,0.2235194847539619
54,mir,0.27766045928001404,0.22450386610898104
55,mir,0.28191420435905457,0.2255290507205895
56,mir,0.31325089931488037,0.22706803052048935
57,mir,0.326336145401001,0.22877954974256712
58,mir,0.36431849002838135,0.23107681991690296
59,mir,0.4036387503147125,0.23395285209019978
60,mir,0.4184454083442688,0.2369773202255124
61,mir,0.43077611923217773,0.24010310730626505
62,mir,0.5042075514793396,0.2442952413407583
63,mir,0.48990336060523987,0.24813286820426583
64,mir,0.5799649953842163,0.25323797785318813
65,mir,0.6553183197975159,0.259330104246284
66,mir,0.6916955709457397,0.26578332016717143
67,mir,0.7487573027610779,0.27288587873472886
68,mir,0.7683948278427124,0.2800671678522359
69,mir,0.7780409455299377,0.28718107896191736
70,mir,0.8477721810340881,0.2950767282868775
71,mir,0.9063457250595093,0.3035665754642751
72,mir,0.9420686364173889,0.3123131790389753
73,mir,0.978158175945282,0.32131108440257405
74,mir,1.072243094444275,0.3313235112031301
75,mir,0.9461410045623779,0.33941321506312017
76,mir,0.9928643703460693,0.3478995937031585
77,mir,1.0247513055801392,0.35657717975286335
78,mir,1.0850963592529297,0.36579894151868697
79,mir,1.1223993301391602,0.3752564463764429
80,mir,1.082384705543518,0.3839864248846784
81,mir,1.1256306171417236,0.3930308662536668
82,mir,1.1192418336868286,0.40178039598177717
83,mir,1.0544556379318237,0.4095503393383253
84,mir,1.0872052907943726,0.4175227505319259
85,mir,1.1167473793029785,0.42565326947112414
86,mir,1.032629132270813,0.432630003526293
87,mir,1.055554747581482,0.43970869379964744
88,mir,1.0722434520721436,0.44681582591506874
89,mir,1.0587528944015503,0.45361512667602966
90,mir,0.9179368019104004,0.4587175626676161
91,mir,0.7793840765953064,0.46220306825378665
92,mir,0.7472180128097534,0.4652677450769691
93,mir,0.758384108543396,0.46838600426278215
94,mir,0.5550307035446167,0.4692980537289067
95,mir,0.4782123267650604,0.4693909107397
96,mir,0.4488368332386017,0.4691790130335031
97,mir,0.4000604748725891,0.4684737218277795
98,mir,0.3515196740627289,0.4672923678099507
99,mir,0.33358460664749146,0.4659552901983261
100,mir,0.3091496229171753,0.4644027588391068
101,mir,0.2679712176322937,0.4624769594155106
102,mir,0.25890007615089417,0.4605004848207085
103,mir,0.23817366361618042,0.4583627269245111
104,mir,0.23834297060966492,0.45626730067389354
105,mir,0.22780725359916687,0.4541120172109244
106,mir,0.24284648895263672,0.45213757302159463
107,mir,0.2334820032119751,0.4501129844122463
108,mir,0.26790115237236023,0.4484413162283941
109,mir,0.2917121648788452,0.44701650576158003
110,mir,0.3112713396549225,0.44579357633719574
111,mir,0.35460537672042847,0.4449793959834746
112,mir,0.3323122262954712,0.44398234138446574
113,mir,0.3618665635585785,0.44326202754388777
114,mir,0.3717530071735382,0.44264020997544995
115,mir,0.35144543647766113,0.44185404813495177
116,mir,0.3453214764595032,0.441028983419777
117,mir,0.33385390043258667,0.4401207200046313
118,mir,0.35130569338798523,0.4393743752431469
119,mir,0.3492886424064636,0.4386236608028412
120,mir,0.3459882438182831,0.4378580788442911
121,mir,0.37316057085990906,0.4373277714017962
122,mir,0.37917518615722656,0.4368549861559054
123,mir,0.36845558881759644,0.4363033781128545
124,mir,0.3498937487602234,0.43561210107803344
125,mir,0.3338956832885742,0.43480482792097425
126,mir,0.31563764810562134,0.43386650367045965
127,mir,0.30776718258857727,0.43288135272450745
128,mir,0.27867037057876587,0.43168591875438544
129,mir,0.21094954013824463,0.42998794661118434
130,mir,0.17863349616527557,0.42806921034823847
131,mir,0.15658436715602875,0.42601250699072174
132,mir,0.1412346214056015,0.4238713198810592
133,mir,0.14575746655464172,0.42179584336369785
134,mir,0.11050061881542206,0.4194899528114884
135,mir,0.08814831078052521,0.41705361720831957
136,mir,0.08902796357870102,0.414659269371607
137,mir,0.09393477439880371,0.4123351788283258
138,mir,0.0900769978761673,0.4100167746488139
139,mir,0.09235069155693054,0.4077477311981576
140,mir,0.09803363680839539,0.4055511773372373
141,mir,0.09335821866989136,0.4033526353747912
142,mir,0.1076817736029625,0.4012850069707924
143,mir,0.103745236992836,0.3992187585681677
144,mir,0.11185600608587265,0.3972369464820829
145,mir,0.12174686044454575,0.39535002808456554
146,mir,0.12170591950416565,0.3934885035363995
147,mir,0.12476103007793427,0.3916727773643829
148,mir,0.13721373677253723,0.38996499856846445
149,mir,0.1564808189868927,0.38840843737125397
150,mir,0.16449207067489624,0.3869255475255827
151,mir,0.1856231987476349,0.38560118996783305
152,mir,0.20394858717918396,0.3844139180541818
153,mir,0.21102328598499298,0.3832880048589273
154,mir,0.25477728247642517,0.38245890342420147
155,mir,0.2823461890220642,0.381817155254957
156,mir,0.31111717224121094,0.3813668368918121
157,mir,0.3371994197368622,0.38108729627690735
158,mir,0.3688475489616394,0.38101031673404406
159,mir,0.3954934775829315,0.3811008364893496
160,mir,0.450503945350647,0.3815319116996682
161,mir,0.5377373695373535,0.3824961429208885
162,mir,0.5541585683822632,0.38354928663537546
163,mir,0.63351970911026,0.385073496528515
164,mir,0.6757107377052307,0.38683493435382843
165,mir,0.7261645793914795,0.38887908884200706
