step,method,mse,rolling_mse
0,online,0.37291067838668823,0.37291067838668823
1,online,0.3255268633365631,0.34921877086162567
2,online,0.30072635412216187,0.33305463194847107
3,online,0.2898586094379425,0.32225562632083893
4,online,0.25175395607948303,0.30815529227256777
5,online,0.2415982186794281,0.2970624466737111
6,online,0.22450079023838043,0.28669649575437817
7,online,0.20685507357120514,0.27671631798148155
8,online,0.1952800303697586,0.267667841580179
9,online,0.2019353210926056,0.2610945895314217
10,online,0.19999195635318756,0.25553980469703674
11,online,0.21070796251296997,0.25180381784836453
12,online,0.20736576616764069,0.24838550618061653
13,online,0.20004777610301971,0.2449328111750739
14,online,0.2040727585554123,0.24220880766709646
15,online,0.20269426703453064,0.2397391488775611
16,online,0.20610950887203217,0.23776093475958882
17,online,0.2008236050605774,0.2357088608874215
18,online,0.202797532081604,0.23397668568711533
19,online,0.20688511431217194,0.23262210711836814
20,online,0.21058078110218048,0.23157252016521634
21,online,0.22062405943870544,0.23107486285946585
22,online,0.21603649854660034,0.23042102093281952
23,online,0.21938347816467285,0.2299611233174801
24,online,0.2224157303571701,0.2296593075990677
25,online,0.226405531167984,0.2295341623517183
26,online,0.234333798289299,0.22971192664570278
27,online,0.23399710655212402,0.22986496878521784
28,online,0.25067755579948425,0.2305826441995029
29,online,0.26218295097351074,0.23163598775863647
30,online,0.2900514304637909,0.2335203568781576
31,online,0.2913806736469269,0.23532849177718163
32,online,0.3163219094276428,0.23778283776658954
33,online,0.31021109223365784,0.23991308054503271
34,online,0.33189964294433594,0.24254126804215567
35,online,0.3133547008037567,0.24450830784108904
36,online,0.3022202253341675,0.24606808939495603
37,online,0.26836293935775757,0.24665479597292447
38,online,0.25190865993499756,0.24678951043349046
39,online,0.22946017980575562,0.2463562771677971
40,online,0.2199934422969818,0.24571328119533817
41,online,0.1898726224899292,0.24438374170235225
42,online,0.19011227786540985,0.24312161463637685
43,online,0.21889369189739227,0.24257098002867264
44,online,0.23379971086978912,0.24237606293625302
45,online,0.2232048511505127,0.24195929746264996
46,online,0.22366933524608612,0.24157014933038265
47,online,0.2299177050590515,0.24132739007472992
48,online,0.23746904730796814,0.24124864838561233
49,online,0.23330706357955933,0.24108981668949128
50,online,0.2283066213130951,0.240839165799758
51,online,0.23812496662139893,0.24078696966171265
52,online,0.25798752903938293,0.24111150851789512
53,online,0.26698604226112366,0.2415906665501771
54,online,0.28506624698638916,0.24238113164901734
55,online,0.2886767089366913,0.24320783838629723
56,online,0.3001575469970703,0.24420695608122306
57,online,0.3129437267780304,0.2453920728173749
58,online,0.3246932923793793,0.24673616128452755
59,online,0.33879366517066956,0.24827045301596323
60,online,0.34239405393600464,0.24981346286711145
61,online,0.35156309604644775,0.2514545859829072
62,online,0.3856639564037323,0.2535848934499044
63,online,0.38373956084251404,0.25561856012791395
64,online,0.39956149458885193,0.25783306681192836
65,online,0.4357766807079315,0.260529182173989
66,online,0.4331170916557312,0.2631051211214777
67,online,0.4428182542324066,0.2657479613142855
68,online,0.4545155465602875,0.26848372341930005
69,online,0.4648970663547516,0.2712896283183779
70,online,0.4710260331630707,0.27410281711900736
71,online,0.5137752294540405,0.2774316006236606
72,online,0.5351215600967407,0.28096160006849735
73,online,0.5562961101531982,0.2846823366912636
74,online,0.5733924508094788,0.2885318048795064
75,online,0.5805649757385254,0.2923743466013356
76,online,0.5928096175193787,0.296276103366505
77,online,0.6042152643203735,0.30022404132745206
78,online,0.6667199730873108,0.3048632303370705
79,online,0.6375613808631897,0.309021957218647
80,online,0.6523028612136841,0.31325999307043756
81,online,0.6646888256072998,0.3175457105403993
82,online,0.7195391654968262,0.32238900517842856
83,online,0.736407995223999,0.32731780267897104
84,online,0.7829059362411499,0.33267766307382024
85,online,0.8233199715614319,0.3383828061957692
86,online,0.7800332903862,0.34345924854278564
87,online,0.8364486694335938,0.34906140105290845
88,online,0.7732009887695312,0.35382701439803904
89,online,0.7667883038520813,0.35841547316975064
90,online,0.6924760341644287,0.36208646834551633
91,online,0.632889449596405,0.36502997901128686
92,online,0.5504407286643982,0.3670236429860515
93,online,0.5584729313850403,0.36906033754348755
94,online,0.5166396498680115,0.37061380398900884
95,online,0.44214504957199097,0.37135892113049823
96,online,0.4266715347766876,0.37192915426087136
97,online,0.4289454519748688,0.3725109532171366
98,online,0.4423031210899353,0.37321592460979114
99,online,0.43837183713912964,0.37386748373508455
100,online,0.4482138454914093,0.3746035863267313
101,online,0.42693325877189636,0.37511662233109566
102,online,0.4216768145561218,0.3755686630323095
103,online,0.4060007929801941,0.3758612796664238
104,online,0.4018760621547699,0.37610903949964614
105,online,0.383751779794693,0.3761811408231843
106,online,0.41268250346183777,0.3765222750534521
107,online,0.3971031904220581,0.3767128390846429
108,online,0.4269271194934845,0.37717352055628367
109,online,0.4448329508304596,0.3777886062860489
110,online,0.4436582028865814,0.37838202607524285
111,online,0.4534287452697754,0.3790520860680512
112,online,0.4644652307033539,0.3798079546046468
113,online,0.47645100951194763,0.3806557007003249
114,online,0.48728862404823303,0.3815829435120458
115,online,0.5086768269538879,0.3826785804382686
116,online,0.5135230422019958,0.3837969091712919
117,online,0.5199856758117676,0.38495105126146545
118,online,0.5564180016517639,0.38639195000424104
119,online,0.5775314569473267,0.3879847792287668
120,online,0.5985195636749268,0.389724736125016
121,online,0.6302873492240906,0.3916965608225494
122,online,0.6622000932693481,0.393895776533499
123,online,0.6733285188674927,0.3961492663910312
124,online,0.6735661625862122,0.39836860156059267
125,online,0.701530933380127,0.40077465181312866
126,online,0.6921080946922302,0.4030686159302869
127,online,0.701048731803894,0.4053965855855495
128,online,0.6428460478782654,0.40723727909169455
129,online,0.5602152943611145,0.4084140330553055
130,online,0.47196879982948303,0.40889918394671143
131,online,0.4364706873893738,0.4091080589727922
132,online,0.34568941593170166,0.4086312270702276
133,online,0.31762927770614624,0.4079521080451225
134,online,0.22641009092330933,0.4066073523627387
135,online,0.1856508105993271,0.404982671908596
136,online,0.16272301971912384,0.40321435327947575
137,online,0.15410132706165314,0.40140918642282486
138,online,0.1368538737297058,0.3995059107919391
139,online,0.1379443109035492,0.3976376136498792
140,online,0.1553870439529419,0.39591952450309237
141,online,0.16142095625400543,0.39426812613514106
142,online,0.18348540365695953,0.3927941210828461
143,online,0.19440646469593048,0.3914164290246036
144,online,0.1915968507528305,0.3900383629675569
145,online,0.19855588674545288,0.3887268391578165
146,online,0.22659999132156372,0.38762393543103923
147,online,0.2358337640762329,0.3865983261651284
148,online,0.26820605993270874,0.38580374719712557
149,online,0.28338688611984253,0.385120968123277
150,online,0.2987426519393921,0.3845489262942447
151,online,0.30774056911468506,0.38404360815490546
152,online,0.29308125376701355,0.38344908296282776
153,online,0.3065109848976135,0.3829494849234432
154,online,0.3175942599773407,0.3825278383108877
155,online,0.29781121015548706,0.3819847830021993
156,online,0.28894948959350586,0.38139220151551967
157,online,0.3065991699695587,0.3809188278981402
158,online,0.28920572996139526,0.38034201596143113
159,online,0.31315305829048157,0.3799220849759877
160,online,0.32136446237564087,0.3795583730343706
161,online,0.32687908411026,0.3792331922385428
162,online,0.3417976200580597,0.3790035261515459
163,online,0.3517298996448517,0.3788372235508954
164,online,0.3638598322868347,0.3787464514826283
165,online,0.3883066773414612,0.3788040432046695
166,online,0.36997875571250916,0.3787511971717823
167,online,0.3879471719264984,0.37880593511675087
168,online,0.3876896798610687,0.3788585016536995
169,online,0.33408766984939575,0.3785951438195565
170,online,0.38696354627609253,0.37864408184561815
171,online,0.363125205039978,0.37855385581767836
172,online,0.40069353580474854,0.37868183084650536
173,online,0.4244249165058136,0.3789447221433979
174,online,0.42083558440208435,0.37918409849916185
175,online,0.42728641629219055,0.37945740712298587
176,online,0.44702407717704773,0.3798391397221614
177,online,0.46319907903671265,0.38030745398797344
178,online,0.4512697160243988,0.380703891206054
179,online,0.463930606842041,0.3811662618484762
180,online,0.45289647579193115,0.3815625613730257
181,online,0.42838287353515625,0.38181981583545493
182,online,0.39624106884002686,0.3818986204966821
183,online,0.3686627149581909,0.3818266862274512
184,online,0.3291211724281311,0.3815417915582657
185,online,0.3141341507434845,0.3811793848872185
186,online,0.31569549441337585,0.38082920365473805
187,online,0.3333055078983307,0.3805764180390125
188,online,0.32585251331329346,0.3802868735695642
189,online,0.33046552538871765,0.38002465594755974
190,online,0.30647382140159607,0.3796395730441777
191,online,0.2802082896232605,0.37912170177636045
192,online,0.29220205545425415,0.3786713409145879
193,online,0.278779000043869,0.3781564319410275
194,online,0.28567054867744446,0.3776821453601886
195,online,0.32012325525283813,0.37738847755351845
196,online,0.30704018473625183,0.37703137962043587
197,online,0.2887578308582306,0.37658555361658635
198,online,0.29228687286376953,0.3761619421555169
199,online,0.2816406488418579,0.37568933568894863
200,online,0.263018399477005,0.3751287837674962
201,online,0.2725461721420288,0.374620949056479
202,online,0.2470468431711197,0.37399250518512256
203,online,0.22852593660354614,0.373279433770507
204,online,0.23369459807872772,0.3725985321329861
205,online,0.20732375979423523,0.3717962274128951
206,online,0.19734209775924683,0.3709534538396891
207,online,0.1815001666545868,0.37004262072822225
208,online,0.15681588649749756,0.3690223971194628
209,online,0.15832409262657166,0.3680190718599728
210,online,0.15943948924541473,0.36703054303241567
211,online,0.13613729178905487,0.3659414239227772
212,online,0.12956710159778595,0.3648316853203124
213,online,0.11947967112064362,0.36368518058106164
214,online,0.1176178827881813,0.3625406815215599
215,online,0.11461543291807175,0.3613928794446919
216,online,0.11333233118057251,0.36024974327757614
217,online,0.1109037846326828,0.35910595447645277
218,online,0.10968728363513947,0.35796705643608145
219,online,0.11150530725717545,0.3568467757579955
220,online,0.10680103302001953,0.3557153470578237
221,online,0.11403835564851761,0.35462671196138534
222,online,0.12158393859863281,0.35358167710325644
223,online,0.12003743648529053,0.35253906888621195
224,online,0.115376316010952,0.35148501220676637
225,online,0.10720911622047424,0.3504041454103668
226,online,0.1041400134563446,0.3493192813929482
227,online,0.09417857974767685,0.3482002432278374
228,online,0.09532839059829712,0.34709599932989177
229,online,0.09366568177938461,0.34599412838402
230,online,0.09520649909973145,0.3449084676511876
231,online,0.10421141237020493,0.343870980343942
232,online,0.10392963141202927,0.34284118914680933
233,online,0.1053851917386055,0.34182641992711615
234,online,0.11511489748954773,0.3408616900444031
235,online,0.11595292389392853,0.33990868679800273
236,online,0.14144141972064972,0.3390712721689844
237,online,0.16591615974903107,0.3383437296798249
238,online,0.1714097410440445,0.3376452611081271
239,online,0.17619778215885162,0.3369725632791718
240,online,0.18361392617225647,0.336336220386612
241,online,0.1974826157093048,0.33576244516067266
242,online,0.2184249311685562,0.3352795747327216
243,online,0.2312062829732895,0.3348530448484616
244,online,0.2575252652168274,0.3345374212581284
245,online,0.29417654871940613,0.3343733526705726
246,online,0.30497151613235474,0.33425431689511426
247,online,0.31672513484954834,0.3341836347094467
248,online,0.32759353518486023,0.3341571684462957
249,online,0.3477909564971924,0.3342117035984993
250,online,0.36006423830986023,0.3343147017447597
251,online,0.3744463324546814,0.33447395424757687
252,online,0.3948056399822235,0.3347124194085834
253,online,0.41255635023117065,0.33501889157717624
254,online,0.42878851294517517,0.3353866155825409
255,online,0.4554677903652191,0.33585568267153576
256,online,0.49207553267478943,0.33646354201006984
257,online,0.49733054637908936,0.33708705753088
258,online,0.5258648991584778,0.3378159295062761
259,online,0.5685826539993286,0.33870349383124937
260,online,0.5870552062988281,0.33965503295947763
261,online,0.5952794551849365,0.3406306986931626
262,online,0.6039630174636841,0.34163196226263226
263,online,0.630489706993103,0.3427261203866113
264,online,0.657826840877533,0.3439151797092186
265,online,0.6796635985374451,0.34517739181007656
266,online,0.7022641897201538,0.3465147955475675
267,online,0.7320840358734131,0.3479534867428132
268,online,0.744411826133728,0.34942730956582774
269,online,0.7573341727256775,0.35093807572567903
270,online,0.769975483417511,0.3524843392226969
271,online,0.8047512769699097,0.3541470853173557
272,online,0.7956891655921936,0.3557644555747727
273,online,0.8436530232429504,0.35754507078524056
