step,method,mse,rolling_mse
0,solid,0.15810240805149078,0.15810240805149078
1,solid,0.14710333943367004,0.1526028737425804
2,solid,0.11852912604808807,0.1412449578444163
3,solid,0.11819040775299072,0.1354813203215599
4,solid,0.10801002383232117,0.12998706102371216
5,solid,0.11990167945623398,0.12830616409579912
6,solid,0.13817165791988373,0.12971552035638265
7,solid,0.15519900619983673,0.1329009560868144
8,solid,0.1479186862707138,0.13456959277391434
9,solid,0.15504306554794312,0.13661694005131722
10,solid,0.1567201167345047,0.1384445015679706
11,solid,0.19196413457393646,0.14290447098513445
12,solid,0.18218965828418732,0.14592640846967697
13,solid,0.19513753056526184,0.1494414886193616
14,solid,0.2079593986272812,0.15334268261988956
15,solid,0.20570267736911774,0.15661518229171634
16,solid,0.22230657935142517,0.16047938211875803
17,solid,0.20087848603725433,0.16272377678089672
18,solid,0.21746835112571716,0.1656050701674662
19,solid,0.21236687898635864,0.16794316060841083
20,solid,0.21242569386959076,0.17006137647799083
21,solid,0.2191530019044876,0.17229281399737706
22,solid,0.2305465042591095,0.1748255831391915
23,solid,0.2201964110136032,0.17671603430062532
24,solid,0.272294282913208,0.18053916424512864
25,solid,0.25904878973960876,0.18355876522568557
26,solid,0.24731305241584778,0.1859200351216175
27,solid,0.2673012316226959,0.18882650642522744
28,solid,0.2439560741186142,0.19072752600086146
29,solid,0.21828079223632812,0.19164596820871035
30,solid,0.22245563566684723,0.19263982844929542
31,solid,0.22968178987503052,0.19379738974384964
32,solid,0.24532745778560638,0.1953589069572362
33,solid,0.1955024152994156,0.1953631277908297
34,solid,0.1672932356595993,0.19456113087279456
35,solid,0.14498814940452576,0.1931841036097871
36,solid,0.1248411014676094,0.1913369954437823
37,solid,0.10867398232221603,0.18916165299321475
38,solid,0.08290808647871017,0.18643720256976593
39,solid,0.08591887354850769,0.18392424434423446
40,solid,0.0981862023472786,0.18183307258821116
41,solid,0.10158607363700867,0.17992242975603967
42,solid,0.09263672679662704,0.1778925296872161
43,solid,0.07802104949951172,0.17562272331931375
44,solid,0.09643616527318954,0.17386302202939988
45,solid,0.0984974279999733,0.1722246395504993
46,solid,0.0844898447394371,0.1703579417885618
