step,method,mse,rolling_mse
0,frozen,1.439058542251587,1.439058542251587
1,frozen,1.4739223718643188,1.4564904570579529
2,frozen,1.4205337762832642,1.4445048967997234
3,frozen,1.2921110391616821,1.406406432390213
4,frozen,1.4412165880203247,1.4133684635162354
5,frozen,1.4512674808502197,1.4196849664052327
6,frozen,1.562975525856018,1.4401550463267736
7,frozen,1.5844374895095825,1.4581903517246246
8,frozen,1.6474988460540771,1.4792246288723416
9,frozen,1.563368320465088,1.4876389980316163
10,frozen,1.4782602787017822,1.4867863871834495
11,frozen,1.5661402940750122,1.4933992127577465
12,frozen,1.6220489740371704,1.503295348240779
13,frozen,1.703643560409546,1.5176059348242623
14,frozen,1.6692163944244385,1.5277132987976074
15,frozen,1.5070778131484985,1.5264235809445381
16,frozen,1.4494458436965942,1.5218954787534826
17,frozen,1.5120301246643066,1.5213474035263062
18,frozen,1.4640253782272339,1.518330454826355
19,frozen,1.297818899154663,1.5073048770427704
20,frozen,1.3304543495178223,1.4988834233511061
21,frozen,1.3022578954696655,1.4899458993564954
22,frozen,1.42449152469635,1.4871000569799673
23,frozen,1.454493522644043,1.485741451382637
24,frozen,1.4547582864761353,1.484502124786377
25,frozen,1.424476146697998,1.4821934333214393
26,frozen,1.5540236234664917,1.484853810734219
27,frozen,1.5643391609191895,1.487692573240825
28,frozen,1.421700358390808,1.4854169796253074
29,frozen,1.4029549360275269,1.4826682448387145
30,frozen,1.3303794860839844,1.4777557042337233
31,frozen,1.479748010635376,1.477817963808775
32,frozen,1.5078983306884766,1.478729490077857
33,frozen,1.6108721494674683,1.4826160388834335
34,frozen,1.3542389869689941,1.4789481231144497
35,frozen,1.3160815238952637,1.4744240509139166
36,frozen,1.0566456317901611,1.4631327422889504
37,frozen,1.058539628982544,1.4524855550966764
38,frozen,1.0329502820968628,1.4417282404043736
39,frozen,0.9229049682617188,1.4287576586008073
40,frozen,0.8355263471603394,1.4142886022242105
41,frozen,0.7961413860321045,1.3995708113624936
42,frozen,0.8582283854484558,1.3869814526203066
43,frozen,0.9065183997154236,1.3760618377815594
44,frozen,0.8384307622909546,1.3641144805484349
45,frozen,0.7810959815979004,1.351440165353858
