step,method,mse,rolling_mse
0,acl,1.4384076595306396,1.4384076595306396
1,acl,1.4711248874664307,1.4547662734985352
2,acl,1.4283593893051147,1.445963978767395
3,acl,1.3009029626846313,1.409698724746704
4,acl,1.45135498046875,1.4180299758911132
5,acl,1.465444564819336,1.4259324073791504
6,acl,1.583242654800415,1.4484052998679025
7,acl,1.5891543626785278,1.4659989327192307
8,acl,1.6571543216705322,1.4872384203804865
9,acl,1.580340027809143,1.496548581123352
10,acl,1.4893136024475098,1.4958908557891846
11,acl,1.6079444885253906,1.5052286585172017
12,acl,1.6835187673568726,1.5189432822740996
13,acl,1.7796006202697754,1.5375616635595049
14,acl,1.7477920055389404,1.5515770196914673
15,acl,1.5801184177398682,1.5533608570694923
16,acl,1.5144351720809937,1.5510711108936983
17,acl,1.575352668762207,1.5524200863308377
18,acl,1.5247619152069092,1.5509643931137889
19,acl,1.3850716352462769,1.5426697552204132
20,acl,1.435883641242981,1.537584702173869
21,acl,1.4563826322555542,1.5338936989957637
22,acl,1.6106878519058228,1.5372325752092444
23,acl,1.668539047241211,1.5427036782105763
24,acl,1.6635215282440186,1.547536392211914
25,acl,1.6849437952041626,1.5528212923270006
26,acl,1.8028607368469238,1.562082012494405
27,acl,1.8012731075286865,1.5706245516027724
28,acl,1.6913822889328003,1.5747886115107044
29,acl,1.590994954109192,1.575328822930654
30,acl,1.5458908081054688,1.5743792095491964
31,acl,1.6790379285812378,1.5776497945189476
32,acl,1.6724369525909424,1.5805221326423413
33,acl,1.7808384895324707,1.5864137901979334
34,acl,1.5578852891921997,1.585598690169198
35,acl,1.4502438306808472,1.5818388329611883
36,acl,1.2213982343673706,1.5720971951613556
37,acl,1.1653387546539307,1.561393025674318
38,acl,1.1032465696334839,1.54964568064763
39,acl,0.9746178388595581,1.535269984602928
40,acl,0.8305050134658813,1.518080595063
41,acl,0.7575414776802063,1.4999725208396004
42,acl,0.8653417229652405,1.4852136650750802
43,acl,0.8213789463043213,1.470126512375745
44,acl,0.7619028687477112,1.4543882091840108
45,acl,0.7579894661903381,1.4392491060754526
46,acl,0.758947491645813,1.4247746036407796
47,acl,0.8857892155647278,1.4135457413891952
48,acl,0.9602115750312805,1.4042940237084214
49,acl,0.9198960065841675,1.3946060633659363
50,acl,0.9576128721237183,1.3860375694200104
51,acl,0.9563827514648438,1.3777749767670264
52,acl,1.004345417022705,1.3707291360171336
53,acl,1.044110655784607,1.3646806456424572
54,acl,1.0420551300048828,1.3588147271763196
55,acl,1.1418037414550781,1.354939531002726
56,acl,1.189635992050171,1.352039468915839
57,acl,1.0588452816009521,1.3469843967207547
58,acl,1.0788010358810425,1.3424389160285561
59,acl,1.1222233772277832,1.3387686570485433
60,acl,1.225391149520874,1.3369100093841553
61,acl,1.3092390298843384,1.3364637032631905
