step,ms_per_step,samples_per_sec
0,316.5882000030251,3.158677423828319
1,32.5406999909319,30.730746427663497
2,32.97780000139028,30.32342969991455
3,33.054499988793395,30.25306691491428
4,34.142200005589984,29.289266650546054
5,31.14409999398049,32.10881034267419
6,53.05880001105834,18.84701500583472
7,60.495400000945665,16.530182459895595
8,46.826099991449155,21.35561151115742
9,56.704699993133545,17.635222479284636
10,37.51949999423232,26.652807211016267
11,35.552400004235096,28.12749631194736
12,46.97949999535922,21.285880013597062
13,38.030700001399964,26.294546247194727
14,38.011399999959394,26.30789710458095
15,45.08650000207126,22.179588124029593
16,40.73860000062268,24.54674436491964
17,36.090399997192435,27.70819941252501
18,35.67370001110248,28.031855391752938
19,34.84989999560639,28.69448693184406
20,35.20090000529308,28.40836455458901
21,29.32449999207165,34.10117820492646
22,29.03419999347534,34.4421406556655
23,31.493300004513003,31.75278550855895
24,37.36580000258982,26.76244051862104
25,39.653600004385225,25.218391265595347
26,35.18320000148378,28.42265626656549
27,32.95880000223406,30.340910467984777
28,30.683399992994964,32.59091235744085
29,32.289199996739626,30.97010765522138
30,42.66249999636784,23.439789043894216
31,36.04409999388736,27.74379163773233
32,32.93729999859352,30.36071566408606
33,28.654500012635253,34.8985325013191
34,47.37770000065211,21.10697648864837
35,32.310200011124834,30.949978633858244
36,32.898999997996725,30.396060672387964
37,29.743799997959286,33.62045199566329
38,28.773799989721738,34.7538385738835
39,25.357899998198263,39.43544221213319
40,31.6781000001356,31.56754982135038
41,31.108800001675263,32.145245073617374
42,31.965999995009042,31.28323844572775
43,32.395799993537366,30.868198970221137
44,41.76279999956023,23.944754662295875
45,32.54630000446923,30.725458803694455
46,32.31330000562593,30.947009430355124
47,37.5278999999864,26.646841416662333
48,48.46749998978339,20.632382528721163
49,35.93239998735953,27.830036411477796
50,40.57489999104291,24.6457785532621
51,34.81320000719279,28.724736588230584
52,31.98089999204967,31.268663491289992
53,30.66410000610631,32.61142508017077
54,27.61070000997279,36.21784306949143
55,29.365500013227575,34.053566244387255
56,31.787800005986355,31.45860990102107
57,31.053200000314973,32.20280035519228
58,30.30600000056438,32.996766316286454
59,30.56680000736378,32.71523351345552
60,37.61759999906644,26.583301434031334
61,31.745000000228174,31.501023783046534
62,39.36260000045877,25.40482590043201
63,39.01769999356475,25.629393843433405
64,35.95799999311566,27.81022304331317
65,30.208500000298955,33.1032656368275
66,28.700100010610186,34.843084157557236
67,39.225400003488176,25.493685211905387
68,35.726099988096394,27.99074067231494
69,33.155400000396185,30.16099941451621
70,38.149799991515465,26.21245721399327
71,39.9018000025535,25.061526044840218
72,32.08959999028593,31.16274432534893
73,46.96700000204146,21.29154512650444
74,46.87059999560006,21.335336012209662
75,30.64299999095965,32.63388050435733
76,29.367099996306933,34.05171093249777
77,29.891099999076687,33.4547741645804
78,29.687700007343665,33.68398359430458
79,31.334899991634302,31.91329796064379
80,31.843500008108094,31.4035831408412
81,35.32460000133142,28.308883892876608
82,38.555100007215515,25.93690587789558
83,31.60399998887442,31.641564370080708
84,29.47350000613369,33.928783476407325
85,48.35300000559073,20.681240044761996
86,39.264699997147545,25.468168611313644
87,36.91379999509081,27.090139734543467
88,31.30849999433849,31.940207936529372
89,34.85130000626668,28.69333424636062
90,30.30699999362696,32.99567757317725
91,34.14309999789111,29.28849460247506
92,31.279999995604157,31.969309467408312
93,32.970900007057935,30.32977564415695
94,28.659400006290525,34.89256578227414
95,29.32489999511745,34.100713051587505
96,29.512299995985813,33.88417711042573
