step,method,mse,rolling_mse
0,derpp,1.0191305875778198,1.0191305875778198
1,derpp,1.142736792564392,1.080933690071106
2,derpp,1.2196991443634033,1.1271888415018718
3,derpp,1.0428082942962646,1.10609370470047
4,derpp,1.068947434425354,1.0986644506454468
5,derpp,1.179329514503479,1.112108627955119
6,derpp,1.2447798252105713,1.131061656134469
7,derpp,1.3881994485855103,1.1632038801908493
8,derpp,1.4326564073562622,1.1931430498758953
9,derpp,1.7698107957839966,1.2508098244667054
10,derpp,1.4819087982177734,1.2718188220804387
11,derpp,1.548111915588379,1.2948432465394337
12,derpp,1.6088621616363525,1.3189985477007353
13,derpp,1.6042646169662476,1.3393746955054147
14,derpp,1.551376461982727,1.3535081466039023
15,derpp,1.3060592412948608,1.350542590022087
16,derpp,1.215797781944275,1.3426164248410393
17,derpp,1.2485934495925903,1.3373929262161255
18,derpp,1.193016767501831,1.3297941810206364
19,derpp,1.0040699243545532,1.313507968187332
20,derpp,1.1110769510269165,1.303868395941598
21,derpp,1.1545034646987915,1.297079080885107
22,derpp,1.3474726676940918,1.299270106398541
23,derpp,1.3363409042358398,1.300814722975095
24,derpp,1.3941463232040405,1.304547986984253
25,derpp,1.3668081760406494,1.306942609640268
26,derpp,1.4351658821105957,1.3116916197317618
27,derpp,1.5178050994873047,1.319052815437317
28,derpp,1.3915674686431885,1.321553320720278
29,derpp,1.4020624160766602,1.3242369572321573
30,derpp,1.3823390007019043,1.3261112166989235
31,derpp,1.5259279012680054,1.3323554880917072
32,derpp,1.420021653175354,1.3350120385487874
33,derpp,1.5898412466049194,1.3425070152563208
34,derpp,1.3326070308685303,1.3422241585595267
35,derpp,1.2714773416519165,1.340258969200982
36,derpp,1.1815282106399536,1.3359689486993325
37,derpp,1.0961238145828247,1.329657234643635
38,derpp,1.002488136291504,1.3212682834038367
39,derpp,1.047834873199463,1.3144324481487275
40,derpp,0.8995469212532043,1.3043132889561537
41,derpp,0.8522248268127441,1.293549277952739
42,derpp,0.9942467212677002,1.2865887533786684
43,derpp,0.9827199578285217,1.2796826443888925
44,derpp,0.831501305103302,1.2697230590714348
45,derpp,0.7591527700424194,1.2586237049621085
46,derpp,0.677115261554718,1.2462511848896107
47,derpp,0.8496053218841553,1.2379877294103305
48,derpp,0.7788940072059631,1.2286184697735065
49,derpp,0.7132408022880554,1.2183109164237975
50,derpp,0.7094248533248901,1.208332758323819
51,derpp,0.7115039825439453,1.1987783587895906
52,derpp,0.7490140199661255,1.190292239189148
53,derpp,0.7593445181846619,1.1823117258372131
54,derpp,0.8754616379737854,1.1767326333306052
55,derpp,0.915982723236084,1.1720763849360603
56,derpp,0.9885830879211426,1.1688572042866756
57,derpp,0.828528642654419,1.16298947046543
