step,method,mse,rolling_mse
0,er,1.0191305875778198,1.0191305875778198
1,er,1.1422128677368164,1.0806717276573181
2,er,1.2188955545425415,1.1267463366190593
3,er,1.0417624711990356,1.1055003702640533
4,er,1.0660831928253174,1.097616934776306
5,er,1.1773000955581665,1.110897461573283
6,er,1.2465213537216187,1.1302723033087594
7,er,1.3920881748199463,1.1629992872476578
8,er,1.4385607242584229,1.1936172246932983
9,er,1.7712899446487427,1.2513844966888428
10,er,1.4879980087280273,1.2728948159651323
11,er,1.5596275329589844,1.2967892090479534
12,er,1.6207212209701538,1.3217070561188917
13,er,1.6210238933563232,1.3430868302072798
14,er,1.568318486213684,1.35810227394104
15,er,1.3298877477645874,1.3563388660550117
16,er,1.2271100282669067,1.348737169714535
17,er,1.2654508352279663,1.3441101511319478
18,er,1.2019991874694824,1.3366306267286603
19,er,1.0173234939575195,1.3206652700901031
20,er,1.1200262308120728,1.3111110301244826
21,er,1.1584861278533936,1.3041735345667058
22,er,1.3613018989562988,1.3066573764966882
23,er,1.3426052331924438,1.3081552038590114
24,er,1.4137992858886719,1.3123809671401978
25,er,1.380426049232483,1.3149980856822088
26,er,1.4659805297851562,1.320590028056392
27,er,1.543007254600525,1.3285335004329681
28,er,1.4255872964859009,1.3318801830554832
29,er,1.4266360998153687,1.335038713614146
30,er,1.411664366722107,1.3375105088756931
31,er,1.568640947341919,1.3447333350777626
32,er,1.4528096914291382,1.3480083761793193
33,er,1.6325030326843262,1.3563758660765255
34,er,1.376442313194275,1.3569491931370325
35,er,1.305894136428833,1.3555309971173604
36,er,1.2026199102401733,1.3513982650395986
37,er,1.1274733543395996,1.345505504231704
38,er,1.0282434225082397,1.3373705790593073
39,er,1.0637266635894775,1.3305294811725616
40,er,0.9129900932312012,1.3203455936617967
41,er,0.8496556878089905,1.309138691141492
42,er,0.9972251653671265,1.3018848882165066
43,er,0.9737140536308289,1.294426460157741
44,er,0.8247085809707642,1.2839882850646973
45,er,0.7616767287254333,1.2726336860138436
46,er,0.6787109375,1.259997031790145
47,er,0.8491661548614502,1.2514380551874638
48,er,0.7885341048240662,1.2419910357922923
49,er,0.7184829711914062,1.2315208745002746
50,er,0.7121591567993164,1.221337311408099
51,er,0.7238211631774902,1.211769693172895
52,er,0.7551702260971069,1.2031546088884462
53,er,0.7582377791404724,1.1949154083375577
54,er,0.8741552829742432,1.1890834060582247
55,er,0.910128653049469,1.1841020711830683
56,er,0.9829539656639099,1.1805731570511533
57,er,0.8223088979721069,1.1743961870670319
58,er,0.7796877026557922,1.1677062127549769
59,er,0.8201279044151306,1.161913240949313
60,er,0.8686306476593018,1.1571053295839029
61,er,1.1797653436660767,1.1574708136820024
62,er,1.2716180086135864,1.1592826739190116
63,er,1.2967041730880737,1.1614298848435283
64,er,1.1742374897003174,1.161626924918248
65,er,1.2662652730941772,1.1632123544360653
66,er,1.4075788259506226,1.1668596152049393
67,er,1.2030478715896606,1.167391795445891
68,er,1.2418339252471924,1.1684706668922866
69,er,1.1474473476409912,1.1681703337601252
70,er,1.038860559463501,1.1663490693334122
71,er,0.7572857141494751,1.1606676338447466
72,er,0.6114374995231628,1.1531439333745879
73,er,0.4850572943687439,1.1441157355501845
74,er,0.6191309690475464,1.1371159386634826
75,er,0.5332409739494324,1.129170215443561
76,er,0.54071444272995,1.1215279326810466
77,er,0.5749260783195496,1.114520216599489
78,er,0.5859951376914978,1.1078300257272358
79,er,0.6656060814857483,1.1023022264242173
80,er,0.706232488155365,1.0974124765690463
81,er,0.7314979434013367,1.0929501042133425
82,er,0.7101119160652161,1.088337595922401
83,er,0.8306160569190979,1.085269482362838
84,er,0.807563066482544,1.082002348058364
85,er,0.8332628011703491,1.0791100277457126
86,er,0.947160542011261,1.0775933669901443
87,er,1.140642523765564,1.078309834680774
88,er,1.0130009651184082,1.0775760271576014
89,er,0.9475852251052856,1.0761316849125757
90,er,0.8585076928138733,1.0737402124719306
91,er,0.8148777484893799,1.0709264900373376
92,er,0.9083801507949829,1.0691786799379575
93,er,0.7113410234451294,1.0653718963582466
94,er,0.6677414774894714,1.0611863130017332
95,er,0.6430373191833496,1.056830594316125
96,er,0.5603023171424866,1.05171174609784
97,er,0.446890652179718,1.045540102282349
98,er,0.5653366446495056,1.0406895623062595
99,er,0.5325793623924255,1.0356084603071212
100,er,0.555804967880249,1.0308579306791323
101,er,0.6201706528663635,1.026831584818223
102,er,0.581968367099762,1.0225125244520243
103,er,0.6037968993186951,1.0184864126718962
104,er,0.7072317004203796,1.0155220820790245
105,er,0.717144787311554,1.0127072019397088
106,er,0.8327257037162781,1.0110251318628543
107,er,0.8275790214538574,1.0093265567664746
108,er,0.7968043684959412,1.007376811919956
109,er,0.8900159001350403,1.0063098945400932
110,er,0.9054164290428162,1.0054009444004781
111,er,0.9318968653678894,1.0047446579805441
112,er,0.9711325764656067,1.0044472059317395
113,er,1.0465816259384155,1.0048168061072367
114,er,0.9165830612182617,1.0040495561516802
115,er,1.0121132135391235,1.004119070439503
116,er,0.970426082611084,1.0038310961845593
117,er,1.0359244346618652,1.0041030736292822
118,er,0.9545045495033264,1.003686279308896
119,er,1.0652556419372559,1.004199357330799
120,er,0.9227810502052307,1.0035264787595135
121,er,1.008840560913086,1.0035700368099525
122,er,1.090107798576355,1.0042735958487037
123,er,1.0680245161056519,1.0047877161733565
124,er,0.9817663431167603,1.0046035451889037
125,er,1.0211966037750244,1.0047352361300634
126,er,1.131002426147461,1.00572946597272
127,er,1.267378807067871,1.007773601450026
128,er,1.3454030752182007,1.010390884192415
129,er,1.1737104654312134,1.0116471886634826
130,er,1.202092170715332,1.013100967152428
131,er,1.0522207021713257,1.0133973287813591
132,er,1.1972997188568115,1.0147800535187685
133,er,1.3249902725219727,1.0170950551531208
134,er,1.308844804763794,1.0192561644094962
135,er,1.4254213571548462,1.0222426731796825
136,er,1.4022293090820312,1.0250162982592617
137,er,1.5208383798599243,1.028609211894049
138,er,1.7736598253250122,1.0339692882496676
139,er,1.6038274765014648,1.0380397038800375
140,er,1.534723162651062,1.041562281601818
141,er,1.4202525615692139,1.0442291145593348
142,er,1.6340903043746948,1.048354017984617
143,er,1.6328034400939941,1.0524126945270433
144,er,1.5933204889297485,1.056143093109131
145,er,1.4944952726364136,1.059145505297674
146,er,1.617358684539795,1.0629428738639468
147,er,1.6535037755966187,1.0669331502270054
148,er,1.596504807472229,1.070487322423282
149,er,1.5538090467453003,1.0737094672520955
150,er,1.416161060333252,1.0759773585970038
151,er,1.239741325378418,1.0770547531153027
152,er,1.224797248840332,1.0780203903422636
153,er,1.0461832284927368,1.0778136555250588
154,er,1.0940545797348022,1.0779184356812508
155,er,1.0919486284255981,1.0780083728142273
156,er,1.1349540948867798,1.0783710844197851
157,er,1.1948087215423584,1.079108031490181
158,er,1.4222034215927124,1.0812658641323354
159,er,1.4566917419433594,1.0836122758686542
160,er,1.7647548913955688,1.0878429753439767
161,er,1.8766381740570068,1.092712081508872
162,er,2.09145188331604,1.0988393195567687
163,er,2.0946662425994873,1.1049114349411755
164,er,2.184148073196411,1.1114522630518133
165,er,2.2115836143493652,1.1180795603487865
166,er,2.371323347091675,1.1255840141616182
167,er,2.7211387157440186,1.135081363575799
168,er,2.1868813037872314,1.1413050318610738
169,er,1.7574456930160522,1.1449293886913974
170,er,1.5504019260406494,1.1473005731203403
171,er,1.6202555894851685,1.1500503115875775
172,er,1.7180722951889038,1.1533336756546373
173,er,2.027355909347534,1.1583567919402287
174,er,2.244824171066284,1.1645651769638061
175,er,2.2227399349212646,1.17057753354311
176,er,2.2507457733154297,1.1766801789655523
177,er,2.0541553497314453,1.181609814756372
178,er,1.9622633457183838,1.1859710076667742
179,er,1.8265674114227295,1.1895298765765296
180,er,1.7919927835464478,1.1928584009244296
181,er,1.8189080953598022,1.1962982344103383
182,er,1.6287221908569336,1.1986612068499372
183,er,1.55428147315979,1.2005939256885778
184,er,1.6615533828735352,1.203085598430118
185,er,1.3958954811096191,1.2041222107025884
186,er,1.5486613512039185,1.205964665999387
187,er,1.5681625604629517,1.207891250544406
188,er,1.6416906118392944,1.210186485260252
189,er,1.7407746315002441,1.2129790544509889
190,er,1.4003355503082275,1.2139599785130686
191,er,1.1959275007247925,1.2138660593579214
192,er,1.1721311807632446,1.2136498164636484
193,er,1.3138428926467896,1.2141662756192315
194,er,1.303186058998108,1.2146227873288669
195,er,1.5263583660125732,1.2162132749752121
196,er,1.6325111389160156,1.2183264621018153
197,er,1.6573452949523926,1.220543728934394
198,er,1.8576719760894775,1.2237453784175853
199,er,1.6995905637741089,1.2261246043443679
200,er,1.4707341194152832,1.227341567105915
201,er,1.3194186687469482,1.2277973943417615
202,er,1.5875651836395264,1.229569649461455
203,er,1.3951963186264038,1.230381544898538
204,er,1.4815746545791626,1.2316068771408826
205,er,1.2758296728134155,1.231821550906283
206,er,1.3066320419311523,1.2321829542445675
207,er,1.4045497179031372,1.2330116406083107
208,er,1.3171344995498657,1.2334141423257343
209,er,1.4808357954025269,1.2345923406737191
210,er,1.5484424829483032,1.2360797821063
211,er,1.7779452800750732,1.2386357514363415
212,er,1.7046685218811035,1.2408236987154249
213,er,1.7359509468078613,1.2431373774448289
214,er,1.7131116390228271,1.245323304242866
215,er,1.7710498571395874,1.2477572234692398
216,er,1.6363164186477661,1.249547818838726
217,er,1.8165748119354248,1.2521488600914632
218,er,1.9782969951629639,1.2554646050004654
219,er,1.798671841621399,1.257933728803288
220,er,2.1069555282592773,1.2617754564026362
221,er,2.158998727798462,1.265817002670185
222,er,1.827243685722351,1.2683346111143652
223,er,1.6108148097991943,1.2698635405727796
224,er,1.5809372663497925,1.2712460904651217
225,er,1.5386594533920288,1.272429335433825
226,er,1.5807297229766846,1.273787486920798
227,er,1.4866161346435547,1.274720945902038
228,er,1.4459667205810547,1.2754687440447412
229,er,1.2189375162124634,1.2752229560976442
230,er,1.294459342956543,1.275306230499631
231,er,1.1180753707885742,1.2746285112767384
232,er,1.0989197492599487,1.2738743964182973
233,er,0.9964569807052612,1.272688851906703
234,er,1.0101368427276611,1.2715716093144518
235,er,0.9222932457923889,1.2700916162486804
236,er,0.9807454943656921,1.268870746536094
237,er,1.0531022548675537,1.2679641562349655
238,er,1.0560886859893799,1.2670776479912602
239,er,1.0654942989349365,1.2662377173701922
240,er,1.0103596448898315,1.2651759826296098
241,er,0.9589279294013977,1.2639104948063526
242,er,0.8931862711906433,1.2623848807173992
243,er,0.8552085161209106,1.2607161251247907
244,er,0.9437690377235413,1.2594224635435611
245,er,1.1496628522872925,1.2589762862620315
246,er,1.107164978981018,1.2583616655847805
247,er,1.0538341999053955,1.2575369580618796
248,er,1.2644293308258057,1.257564638273783
249,er,1.225492238998413,1.2574363486766815
250,er,1.2565733194351196,1.2574329103131694
251,er,1.0805039405822754,1.2567308112269355
252,er,1.1359333992004395,1.2562533511003486
253,er,0.9699583649635315,1.2551262054856367
254,er,1.2244024276733398,1.2550057200824514
255,er,0.9536030292510986,1.2538283658213913
256,er,1.1177849769592285,1.2532990141137565
257,er,1.2274385690689087,1.253198779830637
258,er,1.1291745901107788,1.2527199219552707
259,er,1.10924232006073,1.252168085024907
260,er,1.099328637123108,1.251582493270494
