step,horizon,correction_norm
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.0
10,8,0.0
10,9,0.0
10,10,0.0
20,1,0.0
20,2,0.0
20,3,0.0
20,4,0.0
20,5,0.0
20,6,0.0
20,7,0.0
20,8,0.0
20,9,0.0
20,10,0.0
30,1,0.0
30,2,0.0
30,3,0.0
30,4,0.0
30,5,0.0
30,6,0.0
30,7,0.0
30,8,0.0
30,9,0.0
30,10,0.0
40,1,0.0
40,2,0.0
40,3,0.0
40,4,0.0
40,5,0.0
40,6,0.0
40,7,0.0
40,8,0.0
40,9,0.0
40,10,0.0
50,1,0.0
50,2,0.0
50,3,0.0
50,4,0.0
50,5,0.0
50,6,0.0
50,7,0.0
50,8,0.0
50,9,0.0
50,10,0.0
60,1,0.0
60,2,0.0
60,3,0.0
60,4,0.0
60,5,0.0
60,6,0.0
60,7,0.0
60,8,0.0
60,9,0.0
60,10,0.0
70,1,0.0
70,2,0.0
70,3,0.0
70,4,0.0
70,5,0.0
70,6,0.0
70,7,0.0
70,8,0.0
70,9,0.0
70,10,0.0
80,1,0.34116050601005554
80,2,0.3849942982196808
80,3,0.38394036889076233
80,4,0.29851946234703064
80,5,0.37261825799942017
80,6,0.4296346604824066
80,7,0.3300212323665619
80,8,0.28077933192253113
80,9,0.28752386569976807
80,10,0.32158711552619934
90,1,0.32366126775741577
90,2,0.29407721757888794
90,3,0.36647942662239075
90,4,0.418642520904541
90,5,0.3389066457748413
90,6,0.36588984727859497
90,7,0.3346683979034424
90,8,0.2718779146671295
90,9,0.2807764708995819
90,10,0.21964077651500702
100,1,0.2657778263092041
100,2,0.31465741991996765
100,3,0.22458118200302124
100,4,0.27836158871650696
100,5,0.29950985312461853
100,6,0.2740826904773712
100,7,0.2778872549533844
100,8,0.30735963582992554
100,9,0.2528400421142578
100,10,0.2842135727405548
110,1,0.37987202405929565
110,2,0.4313760995864868
110,3,0.26892536878585815
110,4,0.402444988489151
110,5,0.44654837250709534
110,6,0.4490154981613159
110,7,0.4118820130825043
110,8,0.4228837788105011
110,9,0.3973519206047058
110,10,0.3425430953502655
120,1,0.16854825615882874
120,2,0.17177462577819824
120,3,0.15282022953033447
120,4,0.18307533860206604
120,5,0.18730123341083527
120,6,0.11235769838094711
120,7,0.1475958675146103
120,8,0.15667776763439178
120,9,0.11925572156906128
120,10,0.09322759509086609
130,1,0.1901712417602539
130,2,0.21701061725616455
130,3,0.2875215709209442
130,4,0.215389683842659
130,5,0.19740910828113556
130,6,0.2045379877090454
130,7,0.2138327807188034
130,8,0.23413096368312836
130,9,0.3073802888393402
130,10,0.23253139853477478
140,1,0.2960638999938965
140,2,0.24866122007369995
140,3,0.1992456465959549
140,4,0.21441932022571564
140,5,0.13266105949878693
140,6,0.15360207855701447
140,7,0.28234541416168213
140,8,0.36816099286079407
140,9,0.3115158677101135
140,10,0.2116527259349823
150,1,0.2984505891799927
150,2,0.3839440941810608
150,3,0.3248724639415741
150,4,0.33088111877441406
150,5,0.3030489981174469
150,6,0.27810245752334595
150,7,0.18873204290866852
150,8,0.32455283403396606
150,9,0.2938280701637268
150,10,0.24201937019824982
160,1,0.19853928685188293
160,2,0.3397022485733032
160,3,0.2633892297744751
160,4,0.2879026234149933
160,5,0.4024527072906494
160,6,0.23025019466876984
160,7,0.2620807886123657
160,8,0.28571027517318726
160,9,0.2950015664100647
160,10,0.348379522562027
170,1,0.25885656476020813
170,2,0.3843555152416229
170,3,0.21985971927642822
170,4,0.3287140429019928
170,5,0.3562850058078766
170,6,0.24166558682918549
170,7,0.25706860423088074
170,8,0.23334935307502747
170,9,0.25316575169563293
170,10,0.299378901720047
180,1,0.1511247754096985
180,2,0.16471651196479797
180,3,0.32110780477523804
180,4,0.19966991245746613
180,5,0.157517671585083
180,6,0.2689850628376007
180,7,0.1976778358221054
180,8,0.20309264957904816
180,9,0.26043665409088135
180,10,0.23633967339992523
190,1,0.1534598022699356
190,2,0.20936468243598938
190,3,0.33612415194511414
190,4,0.2971630096435547
190,5,0.25256022810935974
190,6,0.2659120261669159
190,7,0.2569997012615204
190,8,0.2443963587284088
190,9,0.3013388514518738
190,10,0.2709932327270508
200,1,0.2347179502248764
200,2,0.2167004942893982
200,3,0.28247758746147156
200,4,0.28588947653770447
200,5,0.3410280644893646
200,6,0.27009913325309753
200,7,0.3851357698440552
200,8,0.36850351095199585
200,9,0.23315854370594025
200,10,0.19711226224899292
210,1,0.16182342171669006
210,2,0.14982810616493225
210,3,0.2667715549468994
210,4,0.28793811798095703
210,5,0.24952836334705353
210,6,0.2500271499156952
210,7,0.3344188630580902
210,8,0.29841259121894836
210,9,0.2060842365026474
210,10,0.18580548465251923
220,1,0.3867359459400177
220,2,0.3938888907432556
220,3,0.4868537485599518
220,4,0.40050727128982544
220,5,0.4978199303150177
220,6,0.4395293891429901
220,7,0.3931176960468292
220,8,0.3227030336856842
220,9,0.4113273024559021
220,10,0.43845680356025696
230,1,0.3708140254020691
230,2,0.32838889956474304
230,3,0.4194127321243286
230,4,0.22236527502536774
230,5,0.29988494515419006
230,6,0.39460134506225586
230,7,0.36777263879776
230,8,0.41371437907218933
230,9,0.43179434537887573
230,10,0.36937370896339417
240,1,0.23519353568553925
240,2,0.3041883707046509
240,3,0.23536188900470734
240,4,0.27971819043159485
240,5,0.3091549873352051
240,6,0.31868410110473633
240,7,0.32642167806625366
240,8,0.2790065109729767
240,9,0.22664403915405273
240,10,0.2401018887758255
250,1,0.3145710527896881
250,2,0.3712903559207916
250,3,0.22645702958106995
250,4,0.32586532831192017
250,5,0.30602142214775085
250,6,0.35614609718322754
250,7,0.3750968873500824
250,8,0.3065090477466583
250,9,0.25028175115585327
250,10,0.2982214391231537
260,1,0.30955007672309875
260,2,0.35183921456336975
260,3,0.4269997775554657
260,4,0.35937508940696716
260,5,0.3278786540031433
260,6,0.40776464343070984
260,7,0.33012357354164124
260,8,0.3744036555290222
260,9,0.3859517276287079
260,10,0.39950162172317505
270,1,0.2971994876861572
270,2,0.3138735294342041
270,3,0.24133341014385223
270,4,0.2615039348602295
270,5,0.3680488169193268
270,6,0.3764055073261261
270,7,0.3233075439929962
270,8,0.28851747512817383
270,9,0.34236881136894226
270,10,0.262519896030426
280,1,0.43365925550460815
280,2,0.4127545952796936
280,3,0.3762586712837219
280,4,0.4141171872615814
280,5,0.3609587848186493
280,6,0.40313011407852173
280,7,0.3067150115966797
280,8,0.4350462853908539
280,9,0.2403886616230011
280,10,0.2630058228969574
290,1,0.4277186691761017
290,2,0.41053467988967896
290,3,0.389123797416687
290,4,0.40067946910858154
290,5,0.35856765508651733
290,6,0.3498426079750061
290,7,0.32109335064888
290,8,0.3979865610599518
290,9,0.23619019985198975
290,10,0.25302308797836304
300,1,0.32208842039108276
300,2,0.29544204473495483
300,3,0.26287660002708435
300,4,0.18508338928222656
300,5,0.2650613486766815
300,6,0.31129196286201477
300,7,0.2733670473098755
300,8,0.25399506092071533
300,9,0.30820220708847046
300,10,0.2987237274646759
310,1,0.16137316823005676
310,2,0.1933065503835678
310,3,0.18602170050144196
310,4,0.13972985744476318
310,5,0.19833457469940186
310,6,0.28296253085136414
310,7,0.1681203991174698
310,8,0.21968646347522736
310,9,0.24263392388820648
310,10,0.13413013517856598
320,1,0.31044307351112366
320,2,0.3138183355331421
320,3,0.28631168603897095
320,4,0.32850563526153564
320,5,0.24715428054332733
320,6,0.32500380277633667
320,7,0.25625038146972656
320,8,0.28758469223976135
320,9,0.24368758499622345
320,10,0.36941662430763245
330,1,0.3269791007041931
330,2,0.32548508048057556
330,3,0.2814877927303314
330,4,0.3514305651187897
330,5,0.2730523645877838
330,6,0.32969996333122253
330,7,0.25235581398010254
330,8,0.33531391620635986
330,9,0.2912742495536804
330,10,0.3680049180984497
340,1,0.38456419110298157
340,2,0.25692641735076904
340,3,0.19461891055107117
340,4,0.3169112503528595
340,5,0.43012070655822754
340,6,0.4631202816963196
340,7,0.43140459060668945
340,8,0.3785260021686554
340,9,0.3903520107269287
340,10,0.35797685384750366
350,1,0.4275902509689331
350,2,0.2691197097301483
350,3,0.2847973108291626
350,4,0.3052639663219452
350,5,0.39919230341911316
350,6,0.32162001729011536
350,7,0.2967941164970398
350,8,0.24902354180812836
350,9,0.3406926691532135
350,10,0.3373861312866211
360,1,0.26890119910240173
360,2,0.29784947633743286
360,3,0.29182568192481995
360,4,0.26468250155448914
360,5,0.3368232846260071
360,6,0.35284602642059326
360,7,0.3409363925457001
360,8,0.2702719569206238
360,9,0.22089333832263947
360,10,0.24385212361812592
370,1,0.32346346974372864
370,2,0.2231450378894806
370,3,0.16499491035938263
370,4,0.2390238344669342
370,5,0.16301584243774414
370,6,0.21067380905151367
370,7,0.2944584786891937
370,8,0.2393905222415924
370,9,0.1924070417881012
370,10,0.24445392191410065
380,1,0.19538500905036926
380,2,0.2113347351551056
380,3,0.156290203332901
380,4,0.16882729530334473
380,5,0.126592755317688
380,6,0.15764276683330536
380,7,0.1739877164363861
380,8,0.14992380142211914
380,9,0.18931341171264648
380,10,0.1795230358839035
390,1,0.14667430520057678
390,2,0.16291557252407074
390,3,0.12500499188899994
390,4,0.09878374636173248
390,5,0.11259353905916214
390,6,0.1259700357913971
390,7,0.1767270714044571
390,8,0.1460677683353424
390,9,0.16402676701545715
390,10,0.09518467634916306
400,1,0.2673666179180145
400,2,0.285050630569458
400,3,0.3163994252681732
400,4,0.30055633187294006
400,5,0.23010268807411194
400,6,0.2884167730808258
400,7,0.14578060805797577
400,8,0.2259463667869568
400,9,0.17303530871868134
400,10,0.23285676538944244
410,1,0.23608995974063873
410,2,0.17243169248104095
410,3,0.16474130749702454
410,4,0.18419437110424042
410,5,0.15060415863990784
410,6,0.18092688918113708
410,7,0.18270555138587952
410,8,0.2219233214855194
410,9,0.15111562609672546
410,10,0.20249490439891815
420,1,0.37211689352989197
420,2,0.31545501947402954
420,3,0.2435365617275238
420,4,0.34283533692359924
420,5,0.41115760803222656
420,6,0.29686880111694336
420,7,0.23381000757217407
420,8,0.3187713325023651
420,9,0.31215110421180725
420,10,0.3202823996543884
430,1,0.2625943422317505
430,2,0.3258870542049408
430,3,0.2103833109140396
430,4,0.2848365306854248
430,5,0.3190690279006958
430,6,0.28497207164764404
430,7,0.2761246860027313
430,8,0.18168771266937256
430,9,0.24764373898506165
430,10,0.23911991715431213
