step,method,mse,rolling_mse
0,hmem,0.4993502795696258,0.4843502795696258
1,hmem,0.8551115393638611,0.6622309094667435
2,hmem,0.8851408958435059,0.7315342382589975
3,hmem,0.7121157646179199,0.7229296198487282
4,hmem,0.6772904992103577,0.7108017957210541
5,hmem,0.4559949934482574,0.6658339953422546
6,hmem,0.3937179148197174,0.6248174124104636
7,hmem,1.106557011604309,0.6831598623096943
8,hmem,2.012366771697998,0.829182852241728
9,hmem,2.045898675918579,0.9493544346094132
10,hmem,0.8662366271018982,0.9404346339269116
11,hmem,0.6080223917961121,0.9114836137493452
12,hmem,0.8531563878059387,0.9058430579075446
13,hmem,1.7683509588241575,0.9663793365444456
14,hmem,2.2914602756500244,1.0537180658181507
15,hmem,1.7489160299301147,1.0962304385751486
16,hmem,1.0328373908996582,1.0916190828295317
17,hmem,2.157754421234131,1.1500154905186758
18,hmem,1.9780597686767576,1.192807294632259
19,hmem,0.4591482579708099,1.1553743427991866
20,hmem,0.2574360072612762,1.111901088725953
21,hmem,0.2762390077114105,1.073234630498019
22,hmem,0.8437755107879639,1.062605973119321
23,hmem,1.2672845125198364,1.0705092455943425
24,hmem,1.457438588142395,1.0853864192962649
25,hmem,1.434126853942871,1.0982225898595958
26,hmem,1.185238480567932,1.1008898450710155
27,hmem,1.2880147695541382,1.1070371638025557
28,hmem,1.1504000425338743,1.1080151941036357
29,hmem,1.3266388177871704,1.11480264822642
30,hmem,1.0477994680404663,1.1121573843494538
31,hmem,1.2522557973861694,1.1160667097568512
32,hmem,1.531659483909607,1.1282058847311772
33,hmem,1.1850382089614868,1.1294362472085392
34,hmem,1.016252875328064,1.1257738651548114
35,hmem,1.029444932937622,1.122681394815445
36,hmem,1.2002195119857788,1.124371614198427
37,hmem,1.1167173385620115,1.1237754490501003
38,hmem,1.3382667303085327,1.1288906101080088
39,hmem,1.307191014289856,1.132973120212555
40,hmem,1.0784739255905151,1.1312780179047003
41,hmem,0.81234210729599,1.1233271628902072
42,hmem,0.8329084515571594,1.1162244021615316
43,hmem,0.7752291560173035,1.1081336011127992
44,hmem,0.6276813745498657,1.097123551633623
45,hmem,0.5918585658073425,1.085813443246095
46,hmem,0.6001790165901184,1.075161646934266
47,hmem,0.7501969337463379,1.0680790487428503
48,hmem,0.9117180705070496,1.0645818859217119
49,hmem,0.7409319877624512,1.0578088879585267
50,hmem,0.419628232717514,1.0450014241302715
51,hmem,0.6293654441833496,1.036719962977446
52,hmem,0.6304393410682678,1.0287712719980276
53,hmem,0.6462429761886597,1.0214096368904467
54,hmem,0.7010793685913086,1.0153127229213715
55,hmem,1.3487969636917114,1.0209999415065561
56,hmem,1.1899385452270508,1.0237006187648104
57,hmem,0.7795370221138,1.0192322808915172
58,hmem,0.4674897193908691,1.0096264747643874
59,hmem,0.7136194109916687,1.0044430237015088
60,hmem,0.6566666960716248,0.9984958707895436
61,hmem,0.5562407970428467,0.9911207889549193
62,hmem,0.7087373733520508,0.9864004172786837
63,hmem,0.7938728332519531,0.9831577987782656
64,hmem,0.4678896963596344,0.9749998279718252
65,hmem,0.6183661222457886,0.9693690142487036
66,hmem,0.6530358195304871,0.9644237426857452
67,hmem,0.6778733730316162,0.9599891784261254
68,hmem,0.9851056933403016,0.960135794584302
69,hmem,1.5201870203018188,0.9679222406659808
70,hmem,1.7933686971664429,0.9793369794899308
71,hmem,1.2716258764266968,0.9831882141696082
72,hmem,0.3479540348052978,0.9742808966440696
73,hmem,0.477307915687561,0.96736234284736
74,hmem,0.4169879853725433,0.9598240180810292
75,hmem,0.4586934745311737,0.9530328267185312
76,hmem,0.6831952929496765,0.9493336379682864
77,hmem,0.7424696087837219,0.9464892273377148
78,hmem,0.8358314633369446,0.9448986227301104
79,hmem,0.3865985572338104,0.9377323719114063
80,hmem,0.3458046615123749,0.9302394372151221
81,hmem,0.3142569363117218,0.9225445286675196
82,hmem,0.5814548134803772,0.9182542911351446
83,hmem,0.5534847378730774,0.913733225024882
84,hmem,0.7141680717468262,0.9112089291039636
85,hmem,0.5745428204536438,0.9071197883057039
86,hmem,0.6763739585876465,0.9042951235963011
87,hmem,1.1445858478546145,0.9068552454628728
88,hmem,1.1563225984573364,0.90948971010326
89,hmem,0.8657136559486389,0.9088366428348752
90,hmem,0.3406651020050049,0.9024281643642174
91,hmem,1.0397610664367676,0.9037578698215276
92,hmem,1.1043657064437866,0.9057536530110144
93,hmem,0.7878270149230957,0.9043395398398664
94,hmem,0.7561494708061218,0.9026217496395111
95,hmem,0.940546989440918,0.9028605542207756
96,hmem,1.074206829071045,0.9044723714872732
97,hmem,0.6370114088058472,0.9015901167660344
98,hmem,0.3575499057769775,0.895943245947963
99,hmem,0.5220703482627869,0.8920545169711112
100,hmem,0.8488340377807617,0.891478076583088
101,hmem,0.6851275563240051,0.8893079734432931
102,hmem,0.5655366778373718,0.8860189317383812
103,hmem,0.3616837561130523,0.8808330165881377
104,hmem,0.3337995111942291,0.8754803165367672
105,hmem,0.4155906736850738,0.8710002255664682
106,hmem,1.0876420736312866,0.8728847288194104
107,hmem,0.8647657036781311,0.8726706637718059
108,hmem,0.2646541893482208,0.86695491630003
109,hmem,0.458395391702652,0.8631043751673265
110,hmem,0.4852195084095001,0.859564871863202
