step,method,mse,rolling_mse
0,online,1.4384076595306396,1.4384076595306396
1,online,1.4710146188735962,1.454711139202118
2,online,1.4278297424316406,1.4457506736119587
3,online,1.3000673055648804,1.4093298316001892
4,online,1.4502571821212769,1.4175153017044066
5,online,1.4654346704483032,1.425501863161723
6,online,1.5823942422866821,1.447915060179574
7,online,1.5892868041992188,1.4655865281820297
8,online,1.6572164297103882,1.4868787394629583
9,online,1.5819125175476074,1.4963821172714233
10,online,1.4915978908538818,1.4959471875971013
11,online,1.608900547027588,1.5053599675496419
12,online,1.6813424825668335,1.5188970840894258
13,online,1.7761818170547485,1.5372745650155204
14,online,1.7410340309143066,1.550858529408773
15,online,1.576314926147461,1.5524495542049408
16,online,1.5110050439834595,1.5500116418389713
17,online,1.5755518674850464,1.5514305432637532
18,online,1.5244663953781128,1.5500113775855617
19,online,1.3829447031021118,1.5416580438613892
20,online,1.4295711517333984,1.5363205728076754
21,online,1.4468382596969604,1.5322531949390064
22,online,1.5985826253890991,1.5351370832194453
23,online,1.6566044092178345,1.5401982218027115
24,online,1.6555052995681763,1.54481050491333
25,online,1.665627360343933,1.5494573070452764
26,online,1.7946735620498657,1.5585393905639648
27,online,1.7883516550064087,1.5667469714369093
28,online,1.6737016439437866,1.5704350635923188
29,online,1.586846947669983,1.5709821263949075
30,online,1.5328723192214966,1.5697527777764104
31,online,1.6776834726333618,1.5731256119906902
32,online,1.676406979560852,1.5762553504019072
33,online,1.7828222513198853,1.5823308474877302
34,online,1.5543062686920166,1.581530145236424
35,online,1.4573731422424316,1.578081339597702
36,online,1.2228155136108398,1.5684795605169761
37,online,1.1706022024154663,1.558009103724831
38,online,1.1225136518478394,1.546842553676703
39,online,0.9886362552642822,1.5328873962163925
40,online,0.8410828709602356,1.5160141151125839
41,online,0.7646879553794861,1.4981253970237005
42,online,0.8774223327636719,1.4836904420409092
43,online,0.8340833783149719,1.468926645138047
44,online,0.7704170346260071,1.4534042093488906
45,online,0.7598931193351746,1.4383278813051141
46,online,0.7556713223457336,1.4238032736676804
47,online,0.8804218173027039,1.4124828266600769
48,online,0.9590437412261963,1.4032289677736711
49,online,0.9159097671508789,1.3934825837612153
50,online,0.9485529065132141,1.384758472442627
51,online,0.9465622305870056,1.376331621637711
52,online,0.9936025738716125,1.3691103188496716
53,online,1.0309978723526,1.362848977247874
54,online,1.0265047550201416,1.3567336277528244
55,online,1.1247957944869995,1.3525918807302202
56,online,1.1715087890625,1.3494149843851726
57,online,1.0503761768341064,1.3442591428756714
58,online,1.0690898895263672,1.3395952572256833
59,online,1.1182513236999512,1.335906191666921
60,online,1.2156624794006348,1.333934983269113
61,online,1.2975088357925415,1.3333474647614263
62,online,1.3431775569915771,1.3335034979714289
63,online,1.2885679006576538,1.332801379263401
64,online,1.2258950471878052,1.331156666462238
65,online,1.208465576171875,1.3292977105487476
66,online,1.39432954788208,1.3302683349865585
67,online,1.2395168542861938,1.3289337543880237
68,online,1.2984739542007446,1.328492308008498
69,online,1.143318772315979,1.325846971784319
70,online,1.0745819807052612,1.3223080282479944
71,online,0.8750706911087036,1.3160963985655043
72,online,0.8355177044868469,1.3095131287836048
73,online,0.7931039929389954,1.3025346269478668
74,online,0.8718464374542236,1.2967921177546182
75,online,0.8312241435050964,1.2906662233565982
76,online,0.8095423579216003,1.284417861467832
77,online,0.8500169515609741,1.2788486190331287
78,online,0.8212051391601562,1.2730556635916987
79,online,0.8212000727653503,1.2674074687063694
80,online,0.8319982886314392,1.2620320467301358
81,online,0.8552007079124451,1.257070688939676
82,online,0.8623533248901367,1.2523150580475129
83,online,0.9212132692337036,1.2483733700854438
84,online,0.9482553601264954,1.2448425699682797
85,online,0.9916570782661438,1.241898552622906
86,online,1.0092551708221436,1.2392244907631271
87,online,1.1374164819717407,1.238067581572316
88,online,0.9426746368408203,1.2347485597214003
89,online,0.9467000961303711,1.2315480212370555
90,online,0.9266376495361328,1.2281973578117706
91,online,0.8646253943443298,1.2242454886436462
92,online,0.9628662467002869,1.2214349591603844
93,online,0.8074895143508911,1.2170312842156024
