step,method,mse,rolling_mse
0,solid,1.439069151878357,1.439069151878357
1,solid,1.4739673137664795,1.4565182328224182
2,solid,1.420554757118225,1.4445304075876872
3,solid,1.2921243906021118,1.4064289033412933
4,solid,1.4412195682525635,1.4133870363235475
5,solid,1.4512615203857422,1.419699450333913
6,solid,1.5629984140396118,1.4401707308632987
7,solid,1.5844284296035767,1.4582029432058334
8,solid,1.647503137588501,1.479236298137241
9,solid,1.5633885860443115,1.487651526927948
10,solid,1.47825026512146,1.486796866763722
11,solid,1.5661392211914062,1.4934087296326954
12,solid,1.6220262050628662,1.5033023815888624
13,solid,1.703631043434143,1.5176115717206682
14,solid,1.6691967248916626,1.5277172485987345
15,solid,1.507072925567627,1.5264269784092903
16,solid,1.4494463205337524,1.5218987044166117
17,solid,1.5120038986206055,1.5213489929835002
18,solid,1.4640130996704102,1.5183313143880743
19,solid,1.2978206872940063,1.507305783033371
20,solid,1.3304498195648193,1.4988840704872495
21,solid,1.3022419214248657,1.4899457909844138
22,solid,1.4244847297668457,1.4870996578879978
23,solid,1.454491376876831,1.4857409795125325
24,solid,1.4547579288482666,1.484501657485962
25,solid,1.4244753122329712,1.4821929518993084
26,solid,1.5540220737457275,1.484853289745472
27,solid,1.5643340349197388,1.4876918877874101
28,solid,1.4217082262039185,1.4854165891121174
29,solid,1.40294349193573,1.4826674858729045
30,solid,1.3303858041763306,1.4777551735601118
31,solid,1.479767918586731,1.4778180718421936
32,solid,1.5079008340835571,1.4787296706979924
33,solid,1.6108671426773071,1.4826160669326782
34,solid,1.3542520999908447,1.4789485250200545
35,solid,1.3160892724990845,1.4744246568944719
36,solid,1.056659460067749,1.463133705628885
37,solid,1.058550477027893,1.4524867785604376
38,solid,1.0329434871673584,1.4417292582683074
39,solid,0.9229066967964172,1.4287586942315103
40,solid,0.8355332612991333,1.4142897812331594
41,solid,0.7961269021034241,1.3995716174443562
42,solid,0.8582200407981873,1.3869820458944453
43,solid,0.9065274000167847,1.3760626221244985
44,solid,0.8384202122688293,1.3641150130165949
45,solid,0.7810879945755005,1.3514405126157014
46,solid,0.7784099578857422,1.3392483731533618
47,solid,0.920369029045105,1.3305217201511066
48,solid,0.929874837398529,1.322345253156156
49,solid,0.9182209372520447,1.3142627668380737
50,solid,0.9435880780220032,1.3069946356848174
51,solid,0.9136978983879089,1.2994312368906462
52,solid,0.9613974094390869,1.293053240146277
53,solid,0.9799726605415344,1.287255451635078
54,solid,0.9942631125450134,1.2819283181970769
55,solid,1.0923173427581787,1.2785424079213823
56,solid,1.102240800857544,1.2754493972711396
57,solid,0.9878745675086975,1.2704912105510975
58,solid,1.0157084465026855,1.2661728586180736
59,solid,1.0433727502822876,1.2624595234791438
60,solid,1.1437371969223022,1.2605132558306709
61,solid,1.2088865041732788,1.2596805662878099
62,solid,1.2431282997131348,1.2594178318977356
63,solid,1.2119110822677612,1.2586755389347672
64,solid,1.1875559091567993,1.257581390784337
65,solid,1.207449197769165,1.256821812102289
66,solid,1.3870779275894165,1.2587659332289625
67,solid,1.2326161861419678,1.258381378124742
68,solid,1.2858682870864868,1.2587797391241875
69,solid,1.1721590757369995,1.2575423010757991
70,solid,1.0988110303878784,1.2553066493759693
71,solid,0.9182665348052979,1.2506255366735988
72,solid,0.8802968263626099,1.2455525406419414
73,solid,0.8405351638793945,1.240079332847853
74,solid,0.8944000601768494,1.2354702758789062
75,solid,0.8526252508163452,1.2304328413386094
76,solid,0.8440589904785156,1.2254149991196472
77,solid,0.8773838877677917,1.2209530617946234
78,solid,0.864933431148529,1.2164464841915081
79,solid,0.8639508485794067,1.212040288746357
80,solid,0.8434305191040039,1.2074895508495378
81,solid,0.85651695728302,1.2032093972694584
82,solid,0.8898690342903137,1.1994342121733241
83,solid,0.9428235292434692,1.1963793230908257
84,solid,0.9824016690254211,1.1938619389253504
85,solid,1.0567188262939453,1.1922672515691712
86,solid,1.0712800025939941,1.1908765935349739
87,solid,1.2011260986328125,1.190993065183813
88,solid,0.9873636364936829,1.188705094074935
89,solid,1.0285371541976929,1.1869254502985211
90,solid,0.9862158298492432,1.1847198500738039
91,solid,0.9550163745880127,1.1822230731663497
92,solid,1.0714874267578125,1.181032367290989
93,solid,0.9046187996864319,1.1780917974228555
94,solid,0.9416328072547913,1.1756027554210864
95,solid,0.9872798919677734,1.173641058926781
96,solid,0.9033612012863159,1.1708546686418277
97,solid,0.8074106574058533,1.167146056282277
98,solid,0.8378677368164062,1.1638200126513085
99,solid,0.7880879044532776,1.1600626915693284
100,solid,0.8119992017745972,1.156616518403044
101,solid,0.8631384968757629,1.1537392828978745
102,solid,0.8720586895942688,1.1510045198560919
103,solid,0.8377411365509033,1.1479923719396958
104,solid,0.8715481758117676,1.1453595700718107
105,solid,0.8676955103874207,1.1427400978106372
106,solid,0.9104145169258118,1.140568830699564
107,solid,0.9058477878570557,1.1383954877102818
108,solid,0.9085758924484253,1.136287051056503
109,solid,0.9515790939331055,1.1346078878099268
110,solid,0.9812608361244202,1.133226382839787
