step,method,mse,rolling_mse
0,clser,0.04531288892030716,0.04531288892030716
1,clser,0.05250672250986099,0.048909805715084076
2,clser,0.04843518137931824,0.04875159760316213
3,clser,0.041337158530950546,0.046897987835109234
4,clser,0.028270091861486435,0.04317240864038467
5,clser,0.0320168100297451,0.041313142205278076
6,clser,0.028067268431186676,0.03942087452326502
7,clser,0.01357511430978775,0.03619015449658036
8,clser,0.011819403618574142,0.033482293287913
9,clser,0.012471713125705719,0.03138123527169227
10,clser,0.01130747515708208,0.029556347988545895
11,clser,0.013192982412874699,0.028192734190573294
12,clser,0.01571909338235855,0.02723322335917216
13,clser,0.01733270287513733,0.026526043324598243
14,clser,0.018854636698961258,0.026014616216222444
15,clser,0.022824104875326157,0.025815209257416427
16,clser,0.023713093250989914,0.025691555374685454
17,clser,0.025458766147494316,0.025678622639841504
18,clser,0.030974365770816803,0.025957345962524414
19,clser,0.033286236226558685,0.02632379047572613
20,clser,0.025424553081393242,0.026280969647424563
21,clser,0.029346223920583725,0.026420299387113613
22,clser,0.027781641110777855,0.02647948815770771
23,clser,0.028225721791386604,0.02655224789244433
24,clser,0.03271070122718811,0.026798586025834084
25,clser,0.03601670265197754,0.02715312897299345
26,clser,0.03734658285975456,0.02753066430213275
27,clser,0.03291391208767891,0.02772292315161654
28,clser,0.03279780223965645,0.027897918982238604
29,clser,0.03484891727566719,0.02812961892535289
30,clser,0.030666187405586243,0.028211443715037837
31,clser,0.028185473755002022,0.02821063215378672
32,clser,0.02769389934837818,0.028194973583925854
33,clser,0.02352375164628029,0.028057584703406867
34,clser,0.023286378011107445,0.027921264512198313
35,clser,0.02061898447573185,0.027718423400074244
36,clser,0.01865030638873577,0.027473339156524557
37,clser,0.015597420744597912,0.027160814987789644
38,clser,0.019439008086919785,0.02696281993904939
39,clser,0.01923365890979767,0.026769590913318098
40,clser,0.016425469890236855,0.0265172952786088
41,clser,0.0174875445663929,0.02630230121403223
42,clser,0.017524253576993942,0.02609816057131041
43,clser,0.018737521022558212,0.025930873308838767
44,clser,0.02043788693845272,0.02580880694505241
45,clser,0.021744543686509132,0.025720453395953646
46,clser,0.02084355615079403,0.025616689624780035
47,clser,0.018459022045135498,0.02546757155020411
48,clser,0.02354985661804676,0.025428434510772327
49,clser,0.029586652293801308,0.025511598866432905
50,clser,0.026409342885017395,0.025529201690326717
51,clser,0.03567272797226906,0.025724269503440995
52,clser,0.044200628995895386,0.0260728800599024
53,clser,0.042164985090494156,0.026370882004913356
54,clser,0.03992369771003723,0.02661729683591561
55,clser,0.052908167243003845,0.027086776664613614
56,clser,0.06264247745275497,0.02771056088896697
57,clser,0.06529612094163895,0.02835858778642683
58,clser,0.056745246052742004,0.028839717587550818
59,clser,0.06560327112674713,0.029452443479870756
60,clser,0.061947062611579895,0.02998514215416107
61,clser,0.06385231018066406,0.03053138679974983
62,clser,0.06642191857099533,0.03110107778024579
63,clser,0.058198150247335434,0.031524469537544064
64,clser,0.058050770312547684,0.03193256647254412
65,clser,0.05167023837566376,0.03223162210743987
66,clser,0.0475640743970871,0.032460464678927145
67,clser,0.04576210677623749,0.03265607706271112
68,clser,0.047339070588350296,0.03286887407032908
69,clser,0.04379396513104439,0.03302494679976787
70,clser,0.04591849818825722,0.033206546115098705
71,clser,0.046929698437452316,0.03339714545290917
72,clser,0.04772764816880226,0.03359345370929127
73,clser,0.050686679780483246,0.03382444325079386
74,clser,0.05552519112825394,0.03411378655582666
75,clser,0.061728332191705704,0.034477135840509286
76,clser,0.06125537306070328,0.034824905155057255
77,clser,0.06506635248661041,0.035212616018282294
78,clser,0.0698050856590271,0.03565049538082337
79,clser,0.06528390198945999,0.03602091296343133
80,clser,0.07593700289726257,0.036513704197182334
81,clser,0.08275959640741348,0.03707767849242905
82,clser,0.06425827741622925,0.037405155587896526
83,clser,0.05326781049370766,0.03759399671772761
84,clser,0.048484936356544495,0.03772212541936075
85,clser,0.04954998195171356,0.03785965863485322
86,clser,0.057114385068416595,0.03808097732949189
87,clser,0.06486700475215912,0.03838536400474946
88,clser,0.06609202176332474,0.038696674766081775
89,clser,0.05771784484386444,0.038908021100279355
90,clser,0.05441036820411682,0.03907837656295889
91,clser,0.05504441261291504,0.03925192043306711
92,clser,0.05374012514948845,0.039407707580555514
93,clser,0.05616706237196922,0.039585998588974804
94,clser,0.0591118186712265,0.03979153353720903
95,clser,0.06040537357330322,0.04000626103758501
96,clser,0.06213149055838585,0.04023435618728399
97,clser,0.06442591547966003,0.04048120883312457
98,clser,0.06917813420295715,0.04077107676615318
99,clser,0.07028697431087494,0.04106623574160039
100,clser,0.07148370146751404,0.041367398768589636
101,clser,0.07565756887197495,0.04170357690685812
102,clser,0.07331611961126328,0.042010494797192155
103,clser,0.06168442592024803,0.04219966721183692
104,clser,0.05992554873228073,0.04236848513107924
105,clser,0.05307198315858841,0.04246946152756518
106,clser,0.048256196081638336,0.04252354315891166
107,clser,0.05110311508178711,0.04260298363967902
108,clser,0.04785874858498573,0.04265120166670018
109,clser,0.03885846585035324,0.042616722250187936
110,clser,0.03951112926006317,0.04258874393496159
111,clser,0.03450198471546173,0.042516540727644624
112,clser,0.032681409269571304,0.042429504166068756
113,clser,0.03447708114981651,0.04235974606943496
114,clser,0.035191986709833145,0.04229741772717756
115,clser,0.0352669283747673,0.042236810060346436
116,clser,0.03400653973221779,0.04216646586950773
117,clser,0.03535829111933708,0.04210876947331984
118,clser,0.03605655953288078,0.04205791056625733
119,clser,0.036362696439027786,0.04201045044853042
120,clser,0.03585420548915863,0.04195957239101494
121,clser,0.0360967256128788,0.04191151626988268
122,clser,0.03559548780322075,0.04186016644495047
123,clser,0.035359203815460205,0.04180773932697071
124,clser,0.03537363186478615,0.041756266467273234
125,clser,0.03978496789932251,0.041740621240543466
126,clser,0.0376395545899868,0.041708329377153255
127,clser,0.03917312994599342,0.04168852313159732
128,clser,0.04420282319188118,0.04170801382973906
129,clser,0.04295843839645386,0.041717632480252245
130,clser,0.05070873349905014,0.04178626683917437
131,clser,0.05402671545743942,0.04187899751052486
132,clser,0.05863545462489128,0.042004985909881
133,clser,0.06693112105131149,0.04219100184377227
134,clser,0.0687243789434433,0.04238754537784391
135,clser,0.07362101227045059,0.04261720322264249
136,clser,0.08425795286893845,0.04292115030035268
137,clser,0.07382698357105255,0.043145105613908476
138,clser,0.06892462819814682,0.043330569805161985
139,clser,0.06465579569339752,0.04348289284722081
140,clser,0.06028733775019646,0.04360207330752561
141,clser,0.06269446760416031,0.04373652678848782
142,clser,0.06369247287511826,0.0438760788590237
143,clser,0.057181742042303085,0.04396847929779647
144,clser,0.049829840660095215,0.04400890247960543
145,clser,0.05426524579524994,0.04407915140642491
146,clser,0.05675261840224266,0.04416536546762095
147,clser,0.05734778568148613,0.04425443587447139
148,clser,0.05795804411172867,0.04434640639955365
149,clser,0.06308852881193161,0.04447135388230284
150,clser,0.06501011550426483,0.044607372171190006
151,clser,0.06257244199514389,0.04472556342003181
152,clser,0.06043637916445732,0.04482824849025681
153,clser,0.06388312578201294,0.0449519814596838
154,clser,0.0670558363199234,0.04509458697491115
155,clser,0.06402458995580673,0.04521593314786561
156,clser,0.0572337806224823,0.04529247994706699
157,clser,0.058630988001823425,0.04537690088412241
158,clser,0.05333227291703224,0.04542693467049291
159,clser,0.049819570034742355,0.045454388641519475
160,clser,0.05148209631443024,0.045491827819612085
161,clser,0.048151079565286636,0.045508242953844646
162,clser,0.052171994000673294,0.045549124862107396
163,clser,0.049345098435878754,0.04557227104243527
164,clser,0.05108107998967171,0.04560565776332761
165,clser,0.04851227626204491,0.045623167513319886
166,clser,0.05098121985793114,0.045655251659096
167,clser,0.055116936564445496,0.045711571212104035
168,clser,0.05896494910120964,0.04578999356647744
169,clser,0.05093095079064369,0.045820234491325475
170,clser,0.04701613262295723,0.04582722804765081
171,clser,0.04885063320398331,0.04584480598460623
172,clser,0.054814595729112625,0.04589665448023921
173,clser,0.07882088422775269,0.04608587419143182
174,clser,0.11471154540777206,0.046478020884096624
175,clser,0.13452839851379395,0.046978307120629
176,clser,0.16509997844696045,0.047645661195919
177,clser,0.19960226118564606,0.048499349959906235
178,clser,0.22445306181907654,0.04948233159040439
179,clser,0.24722447991371155,0.05058089908108943
180,clser,0.2764519453048706,0.0518288054138175
181,clser,0.2960832417011261,0.05317086275605546
182,clser,0.30363544821739197,0.054539521693002656
183,clser,0.30746009945869446,0.05591409005042489
184,clser,0.3133806586265564,0.057305801231917496
185,clser,0.3195665180683136,0.058715805085876614
186,clser,0.3237241804599762,0.060132962173438644
187,clser,0.326094388961792,0.06154765061380223
188,clser,0.33745846152305603,0.06300749617416865
189,clser,0.3495895564556122,0.06451582280722888
190,clser,0.35058513283729553,0.06601356788592033
191,clser,0.3541609048843384,0.06751433526612043
192,clser,0.35858049988746643,0.06902245010871808
193,clser,0.36678391695022583,0.07055730303058151
194,clser,0.3676395118236542,0.07208080153721265
195,clser,0.3735663890838623,0.07361899331040984
196,clser,0.36874330043792725,0.07511708623999115
197,clser,0.37886980175971985,0.07665119086382817
198,clser,0.3787248432636261,0.07816914891608846
199,clser,0.37878918647766113,0.07967224910389632
200,clser,0.3718760311603546,0.08112599926338118
201,clser,0.3668931722640991,0.08254068823863227
202,clser,0.34937968850135803,0.0838551660724388
203,clser,0.33674269914627075,0.08509481084240857
204,clser,0.3072013854980469,0.08617825754804583
205,clser,0.2840653955936432,0.08713887472302445
206,clser,0.24078556895256042,0.0878811292845198
207,clser,0.19851669669151306,0.08841303105089957
208,clser,0.17496339976787567,0.08882714764763151
209,clser,0.13453805446624756,0.08904481863248206
210,clser,0.09168090671300888,0.08905731194092058
211,clser,0.06576623767614365,0.08894744838306785
212,clser,0.05074711889028549,0.08876810411314869
213,clser,0.04271770268678665,0.08855291532143672
214,clser,0.03833455964922905,0.08831934157412412
215,clser,0.034237202256917953,0.08806896129950743
216,clser,0.03515222296118736,0.08782510536246448
217,clser,0.032817259430885315,0.08757277579397099
218,clser,0.032123975455760956,0.08731958492484675
219,clser,0.03505318984389305,0.08708201040175151
220,clser,0.03601669892668724,0.08685094564394578
221,clser,0.03470342978835106,0.08661604692387553
222,clser,0.03840551897883415,0.08639985621560181
223,clser,0.03555360063910484,0.08617286400320674
