step,horizon,correction_norm
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,0.0
0,14,0.0
0,15,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.0
10,8,0.0
10,9,0.0
10,10,0.0
10,11,0.0
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.0
20,1,0.0
20,2,0.0
20,3,0.0
20,4,0.0
20,5,0.0
20,6,0.0
20,7,0.0
20,8,0.0
20,9,0.0
20,10,0.0
20,11,0.0
20,12,0.0
20,13,0.0
20,14,0.0
20,15,0.0
30,1,0.0
30,2,0.0
30,3,0.0
30,4,0.0
30,5,0.0
30,6,0.0
30,7,0.0
30,8,0.0
30,9,0.0
30,10,0.0
30,11,0.0
30,12,0.0
30,13,0.0
30,14,0.0
30,15,0.0
40,1,0.20949231088161469
40,2,0.22419020533561707
40,3,0.16107197105884552
40,4,0.1261553317308426
40,5,0.18958914279937744
40,6,0.20146186649799347
40,7,0.194100484251976
40,8,0.21243005990982056
40,9,0.12006725370883942
40,10,0.1640464812517166
40,11,0.20343534648418427
40,12,0.10340271145105362
40,13,0.14219167828559875
40,14,0.10103921592235565
40,15,0.17348815500736237
50,1,0.20754516124725342
50,2,0.2785443365573883
50,3,0.1664409637451172
50,4,0.16348028182983398
50,5,0.21725167334079742
50,6,0.20689354836940765
50,7,0.2423379272222519
50,8,0.2570262849330902
50,9,0.15472084283828735
50,10,0.20917043089866638
50,11,0.2180195301771164
50,12,0.12321213632822037
50,13,0.19212202727794647
50,14,0.11367389559745789
50,15,0.18512997031211853
60,1,0.0
60,2,0.0
60,3,0.0
60,4,0.0
60,5,0.0
60,6,0.0
60,7,0.0
60,8,0.0
60,9,0.0
60,10,0.0
60,11,0.0
60,12,0.0
60,13,0.0
60,14,0.0
60,15,0.0
70,1,0.0
70,2,0.0
70,3,0.0
70,4,0.0
70,5,0.0
70,6,0.0
70,7,0.0
70,8,0.0
70,9,0.0
70,10,0.0
70,11,0.0
70,12,0.0
70,13,0.0
70,14,0.0
70,15,0.0
80,1,0.0
80,2,0.0
80,3,0.0
80,4,0.0
80,5,0.0
80,6,0.0
80,7,0.0
80,8,0.0
80,9,0.0
80,10,0.0
80,11,0.0
80,12,0.0
80,13,0.0
80,14,0.0
80,15,0.0
90,1,0.0
90,2,0.0
90,3,0.0
90,4,0.0
90,5,0.0
90,6,0.0
90,7,0.0
90,8,0.0
90,9,0.0
90,10,0.0
90,11,0.0
90,12,0.0
90,13,0.0
90,14,0.0
90,15,0.0
100,1,0.18576936423778534
100,2,0.27288103103637695
100,3,0.2054700404405594
100,4,0.19921354949474335
100,5,0.22025108337402344
100,6,0.1595320701599121
100,7,0.1614663153886795
100,8,0.172334223985672
100,9,0.18638594448566437
100,10,0.21248550713062286
100,11,0.10985112935304642
100,12,0.1057133600115776
100,13,0.1534765213727951
100,14,0.1348254233598709
100,15,0.18395958840847015
110,1,0.15353812277317047
110,2,0.1925123631954193
110,3,0.18280820548534393
110,4,0.1733265370130539
110,5,0.18753546476364136
110,6,0.1460593044757843
110,7,0.12759999930858612
110,8,0.1687481850385666
110,9,0.2111566662788391
110,10,0.21364006400108337
110,11,0.14354132115840912
110,12,0.11630221456289291
110,13,0.15691621601581573
110,14,0.17138883471488953
110,15,0.1813431680202484
120,1,0.0
120,2,0.0
120,3,0.0
120,4,0.0
120,5,0.0
120,6,0.0
120,7,0.0
120,8,0.0
120,9,0.0
120,10,0.0
120,11,0.0
120,12,0.0
120,13,0.0
120,14,0.0
120,15,0.0
130,1,0.0
130,2,0.0
130,3,0.0
130,4,0.0
130,5,0.0
130,6,0.0
130,7,0.0
130,8,0.0
130,9,0.0
130,10,0.0
130,11,0.0
130,12,0.0
130,13,0.0
130,14,0.0
130,15,0.0
140,1,0.0
140,2,0.0
140,3,0.0
140,4,0.0
140,5,0.0
140,6,0.0
140,7,0.0
140,8,0.0
140,9,0.0
140,10,0.0
140,11,0.0
140,12,0.0
140,13,0.0
140,14,0.0
140,15,0.0
150,1,0.0
150,2,0.0
150,3,0.0
150,4,0.0
150,5,0.0
150,6,0.0
150,7,0.0
150,8,0.0
150,9,0.0
150,10,0.0
150,11,0.0
150,12,0.0
150,13,0.0
150,14,0.0
150,15,0.0
160,1,0.1689162701368332
160,2,0.1147773340344429
160,3,0.11542348563671112
160,4,0.08484264463186264
160,5,0.16162824630737305
160,6,0.09997223317623138
160,7,0.1600176990032196
160,8,0.14433331787586212
160,9,0.1080121174454689
160,10,0.12835244834423065
160,11,0.09770715236663818
160,12,0.13257549703121185
160,13,0.13612397015094757
160,14,0.08570408076047897
160,15,0.12396127730607986
170,1,0.13368497788906097
170,2,0.0940888524055481
170,3,0.13429148495197296
170,4,0.07442741096019745
170,5,0.16487397253513336
170,6,0.13568179309368134
170,7,0.1926169991493225
170,8,0.13914181292057037
170,9,0.1459294706583023
170,10,0.14215655624866486
170,11,0.13314253091812134
170,12,0.12493957579135895
170,13,0.1416168212890625
170,14,0.07698705792427063
170,15,0.12877202033996582
180,1,0.2060539275407791
180,2,0.21949462592601776
180,3,0.2631221115589142
180,4,0.2001980096101761
180,5,0.24852003157138824
180,6,0.1645924597978592
180,7,0.20171397924423218
180,8,0.13859246671199799
180,9,0.18984417617321014
180,10,0.14224475622177124
180,11,0.20887871086597443
180,12,0.18412089347839355
180,13,0.1485964059829712
180,14,0.1845119446516037
180,15,0.14436358213424683
190,1,0.1976235955953598
190,2,0.21574005484580994
190,3,0.2543454170227051
190,4,0.19023145735263824
190,5,0.24493816494941711
190,6,0.1594247817993164
190,7,0.19698619842529297
190,8,0.13690069317817688
190,9,0.18422843515872955
190,10,0.13478364050388336
190,11,0.2000007927417755
190,12,0.17831555008888245
190,13,0.14806149899959564
190,14,0.1837366372346878
190,15,0.14340335130691528
200,1,0.1929684579372406
200,2,0.20988833904266357
200,3,0.23891255259513855
200,4,0.1807595044374466
200,5,0.22892741858959198
200,6,0.15362638235092163
200,7,0.18861500918865204
200,8,0.13287752866744995
200,9,0.1747496873140335
200,10,0.12674234807491302
200,11,0.18543891608715057
200,12,0.16758207976818085
200,13,0.14286381006240845
200,14,0.17352470755577087
200,15,0.13846716284751892
210,1,0.1549721509218216
210,2,0.1607687771320343
210,3,0.15386566519737244
210,4,0.13775424659252167
210,5,0.18938590586185455
210,6,0.14357905089855194
210,7,0.1382078379392624
210,8,0.1510300189256668
210,9,0.13554099202156067
210,10,0.14715899527072906
210,11,0.16351193189620972
210,12,0.1869926005601883
210,13,0.15630435943603516
210,14,0.16348201036453247
210,15,0.16839849948883057
220,1,0.35669413208961487
220,2,0.4101956784725189
220,3,0.36733049154281616
220,4,0.321287602186203
220,5,0.35896068811416626
220,6,0.34847673773765564
220,7,0.2371128350496292
220,8,0.3087475299835205
220,9,0.21880939602851868
220,10,0.21221524477005005
220,11,0.16889765858650208
220,12,0.17849282920360565
220,13,0.18844939768314362
220,14,0.20141872763633728
220,15,0.16545847058296204
230,1,0.23836968839168549
230,2,0.23917479813098907
230,3,0.15661166608333588
230,4,0.20642171800136566
230,5,0.1501137763261795
230,6,0.21885983645915985
230,7,0.17655529081821442
230,8,0.18214885890483856
230,9,0.13001814484596252
230,10,0.1255456954240799
230,11,0.12559163570404053
230,12,0.10617285966873169
230,13,0.15082168579101562
230,14,0.11118902266025543
230,15,0.15519416332244873
240,1,0.22333142161369324
240,2,0.14679507911205292
240,3,0.1803589165210724
240,4,0.17044638097286224
240,5,0.1580609530210495
240,6,0.18100714683532715
240,7,0.16740736365318298
240,8,0.14978370070457458
240,9,0.0820101723074913
240,10,0.16697494685649872
240,11,0.18540304899215698
240,12,0.173876091837883
240,13,0.14905358850955963
240,14,0.1147962287068367
240,15,0.1223345398902893
250,1,0.2160375565290451
250,2,0.1382228136062622
250,3,0.1777852475643158
250,4,0.17026783525943756
250,5,0.14951001107692719
250,6,0.17959418892860413
250,7,0.17140448093414307
250,8,0.14578956365585327
250,9,0.07965473085641861
250,10,0.16914160549640656
250,11,0.18172965943813324
250,12,0.171921506524086
250,13,0.147654190659523
250,14,0.11502087861299515
250,15,0.12050211429595947
260,1,0.2134944498538971
260,2,0.14501117169857025
260,3,0.1732664853334427
260,4,0.16526904702186584
260,5,0.14868324995040894
260,6,0.1770717054605484
260,7,0.16160674393177032
260,8,0.14644524455070496
260,9,0.08442609757184982
260,10,0.16116246581077576
260,11,0.1781115084886551
260,12,0.16945572197437286
260,13,0.14653944969177246
260,14,0.10978679358959198
260,15,0.12313670665025711
270,1,0.1614924818277359
270,2,0.12416209280490875
270,3,0.13271135091781616
270,4,0.12442168593406677
270,5,0.13435125350952148
270,6,0.15658749639987946
270,7,0.12493099272251129
270,8,0.15776872634887695
270,9,0.08326239138841629
270,10,0.13024914264678955
270,11,0.1669023334980011
270,12,0.09975837916135788
270,13,0.0969509705901146
270,14,0.06609169393777847
270,15,0.10580603778362274
280,1,0.1531849354505539
280,2,0.15878498554229736
280,3,0.10871607810258865
280,4,0.13060300052165985
280,5,0.1523539125919342
280,6,0.13911819458007812
280,7,0.12860725820064545
280,8,0.1864464432001114
280,9,0.09852571785449982
280,10,0.13119715452194214
280,11,0.15969645977020264
280,12,0.0687839463353157
280,13,0.11174599826335907
280,14,0.07354111969470978
280,15,0.10097865760326385
290,1,0.1379246562719345
290,2,0.12427622824907303
290,3,0.09593503922224045
290,4,0.09913177788257599
290,5,0.12021376192569733
290,6,0.12989667057991028
290,7,0.10914447903633118
290,8,0.1321973353624344
290,9,0.07860330492258072
290,10,0.09891857951879501
290,11,0.1190606951713562
290,12,0.08350855857133865
290,13,0.10005109757184982
290,14,0.07074624300003052
290,15,0.08254721760749817
300,1,0.18383413553237915
300,2,0.08981512486934662
300,3,0.14905136823654175
300,4,0.12717314064502716
300,5,0.13884486258029938
300,6,0.0756663829088211
300,7,0.07862477004528046
300,8,0.1264348328113556
300,9,0.11705853044986725
300,10,0.16174179315567017
300,11,0.06872204691171646
300,12,0.07061854004859924
300,13,0.11028214544057846
300,14,0.13632707297801971
300,15,0.09449294209480286
310,1,0.18331395089626312
310,2,0.09034855663776398
310,3,0.15125790238380432
310,4,0.12685437500476837
310,5,0.13791389763355255
310,6,0.07671447843313217
310,7,0.0778113603591919
310,8,0.1292087882757187
310,9,0.1174001470208168
310,10,0.16424140334129333
310,11,0.06838911771774292
310,12,0.07066525518894196
310,13,0.11179356276988983
