step,method,mse,rolling_mse
0,hmem,0.03410409763455391,0.02410409763455391
1,hmem,0.04828495532274246,0.031194526478648186
2,hmem,0.0471663698554039,0.03318514093756676
3,hmem,0.045137181878089905,0.033673151172697544
4,hmem,0.03429001197218895,0.03179652333259583
5,hmem,0.04038814827799797,0.031561794156829514
6,hmem,0.03965020552277565,0.03128871006625039
7,hmem,0.014193723909556866,0.0279018367966637
8,hmem,0.011014722287654877,0.02491437962899605
9,hmem,0.013086602091789246,0.02273160187527537
10,hmem,0.009627142921090126,0.020631196515803986
11,hmem,0.00805576890707016,0.018749910881742835
12,hmem,0.009446391835808754,0.017265024801286366
13,hmem,0.0090853376314044,0.01596647571772337
14,hmem,0.008276418782770634,0.01478713858872652
15,hmem,0.010406347922980785,0.013888339172117412
16,hmem,0.01049049012362957,0.013100230404559302
17,hmem,0.014009037055075169,0.012595164107365742
18,hmem,0.018945865333080292,0.0124030957508244
19,hmem,0.01802981272339821,0.012184431599453092
20,hmem,0.011604709550738335,0.011680635311419054
21,hmem,0.014736234210431576,0.011364980715919624
22,hmem,0.013465535826981068,0.0110215265903136
23,hmem,0.015329049900174141,0.01078434006155779
24,hmem,0.020531071349978447,0.010774209313094615
25,hmem,0.027709389105439186,0.01104094699741556
26,hmem,0.027844678610563278,0.011292937057161773
27,hmem,0.02160007879137993,0.01130390640481242
28,hmem,0.02429138869047165,0.011406923035352396
29,hmem,0.029659196734428406,0.011681998825321593
30,hmem,0.023150939494371414,0.01172938400819417
31,hmem,0.02258322574198246,0.011756066562375054
32,hmem,0.024450941011309624,0.01183772942446398
33,hmem,0.019970351830124855,0.01178280655404224
34,hmem,0.024756884202361107,0.011867780201137065
35,hmem,0.023363642394542694,0.011909331928731665
36,hmem,0.023201551288366318,0.01194425677628936
37,hmem,0.01946379989385605,0.011878981595172695
38,hmem,0.030978737398982048,0.01211230866706524
39,hmem,0.030837228521704674,0.012330431663431228
40,hmem,0.026918616145849228,0.01244233860202679
41,hmem,0.0391383171081543,0.01283986189979173
42,hmem,0.035578493028879166,0.013136109135351902
43,hmem,0.029204420745372772,0.013274025308306922
44,hmem,0.025404708459973335,0.013321373822788396
45,hmem,0.024253077805042267,0.01334162825718522
46,hmem,0.013083433732390404,0.013123368799210862
47,hmem,0.011954492889344692,0.012890683884421986
48,hmem,0.011938467621803284,0.01266716926681752
49,hmem,0.011645141988992691,0.012446728721261026
50,hmem,0.013135225512087345,0.0122641502269635
51,hmem,0.015067769214510918,0.012125758284416337
52,hmem,0.019387999549508095,0.01207410245922939
53,hmem,0.01659785397350788,0.011972690450234547
54,hmem,0.021385982632637024,0.011962023035369135
