step,method,mse,rolling_mse
0,solid,0.042187586426734924,0.042187586426734924
1,solid,0.045854657888412476,0.0440211221575737
2,solid,0.04497387632727623,0.04433870688080788
3,solid,0.040101177990436554,0.043279324658215046
4,solid,0.033328160643577576,0.04128909185528755
5,solid,0.035568173974752426,0.04033560554186503
6,solid,0.03442580997943878,0.039491349032946994
7,solid,0.025049729272723198,0.03768614656291902
8,solid,0.023181915283203125,0.03607456530961725
9,solid,0.023991873487830162,0.034866296127438544
10,solid,0.022786062210798264,0.03376809304410761
11,solid,0.02233951725065708,0.03281571172798673
12,solid,0.0219184011220932,0.031977457065994926
13,solid,0.021984919905662537,0.03126370441168547
14,solid,0.022127298638224602,0.030654610693454744
15,solid,0.02313920669257641,0.030184897943399847
16,solid,0.023125866428017616,0.029769660795436186
17,solid,0.023957857862114906,0.029446782854696114
18,solid,0.0254929531365633,0.029238686553741757
19,solid,0.024779601022601128,0.029015732277184726
20,solid,0.02252141386270523,0.028706479019352367
21,solid,0.02605445683002472,0.02858593255620111
22,solid,0.025546569377183914,0.02845378633102645
23,solid,0.027436379343271255,0.02841139437320332
24,solid,0.029513174667954445,0.028455465584993362
25,solid,0.03260023891925812,0.028614879944003545
26,solid,0.03403578698635101,0.028815654278905305
27,solid,0.032747238874435425,0.028956068014459952
28,solid,0.03390397131443024,0.02912668536963134
29,solid,0.035886526107788086,0.029352013394236563
30,solid,0.03401391580700874,0.029502397343035665
31,solid,0.03229527175426483,0.02958967466838658
32,solid,0.0327574647963047,0.029685668308626522
33,solid,0.031340498477220535,0.029734339784173405
34,solid,0.032800670713186264,0.02982194923928806
35,solid,0.03242066875100136,0.029894135892391205
36,solid,0.032020989805459976,0.029951618430582253
37,solid,0.029977921396493912,0.02995231061389572
38,solid,0.03325578570365906,0.030037015103376828
39,solid,0.032931264489889145,0.030109371338039637
40,solid,0.03187677264213562,0.030152478686920028
41,solid,0.03414677083492279,0.030247580880920093
42,solid,0.033764854073524475,0.030329377931910893
43,solid,0.03325464949011803,0.0303958613764156
44,solid,0.035024162381887436,0.03049871250987053
45,solid,0.03624887764453888,0.030623716099754623
46,solid,0.0352330207824707,0.030721786412152837
47,solid,0.03534712269902229,0.030818147584795952
48,solid,0.03681901842355728,0.030940614336607407
49,solid,0.03813663497567177,0.031084534749388694
50,solid,0.039948720484972,0.031258342312831505
51,solid,0.04052616283297539,0.03143656963052658
52,solid,0.04185476526618004,0.03163313935950117
53,solid,0.042519666254520416,0.031834741709408934
54,solid,0.04334816336631775,0.032044076648625464
55,solid,0.04641617834568024,0.03230072132178715
56,solid,0.05017104744911194,0.03261423581524899
57,solid,0.051015790551900864,0.03293150400036368
58,solid,0.05022937059402466,0.03322468817991726
59,solid,0.05298113822937012,0.03355396234740814
60,solid,0.053353097289800644,0.03387853833007031
61,solid,0.05579133704304695,0.03423197056737638
62,solid,0.05821952968835831,0.03461272547405864
63,solid,0.05667848885059357,0.034957503026816994
64,solid,0.05785007029771805,0.03530969636944624
65,solid,0.05926927179098129,0.0356727202394695
66,solid,0.06267404556274414,0.03607572509504076
67,solid,0.06837506592273712,0.03655071540133042
68,solid,0.07221531867980957,0.03706759370971417
69,solid,0.07310819625854492,0.037582459460411756
70,solid,0.0784483328461647,0.038158035141901234
71,solid,0.07918313890695572,0.03872782824974921
72,solid,0.08318912237882614,0.039336887073435196
73,solid,0.08368589729070663,0.039936198022317244
74,solid,0.09327930212020874,0.04064743941028913
75,solid,0.09723204374313354,0.04139197367782656
76,solid,0.09465087205171585,0.04208364768268226
77,solid,0.09775401651859283,0.04279737036006573
78,solid,0.1025901511311531,0.04355424100273772
79,solid,0.09807468950748444,0.044235746609047055
80,solid,0.10795808583498001,0.04502244215504623
81,solid,0.11638982594013214,0.04589277610364484
82,solid,0.09847129136323929,0.046526252191109826
83,solid,0.08334028720855713,0.04696451451274611
84,solid,0.07615974545478821,0.0473079878179466
85,solid,0.07333267480134964,0.047610600457288495
86,solid,0.07393594086170197,0.047913190576879455
87,solid,0.07752352952957153,0.04824967170134187
88,solid,0.07732602208852768,0.04857637226749002
89,solid,0.07186505943536758,0.048835135458244215
90,solid,0.07143279165029526,0.04908346135046456
91,solid,0.07091020047664642,0.04932070851487958
92,solid,0.0707700327038765,0.049551346409384925
93,solid,0.07164213061332703,0.04978635475198005
94,solid,0.07261597365140915,0.05002666652986878
95,solid,0.0720834955573082,0.05025642516557127
96,solid,0.0740666314959526,0.05050189121021438
97,solid,0.07569584250450134,0.050758972345870366
98,solid,0.07817870378494263,0.05103593933010342
99,solid,0.07967935502529144,0.0513223734870553
100,solid,0.08243362605571747,0.05163040569070542
101,solid,0.0848507434129715,0.051956095276217834
102,solid,0.08217189460992813,0.0522494525513024
103,solid,0.07322783023118973,0.05245116772130132
104,solid,0.06820397824048996,0.05260119448815073
105,solid,0.06651488691568375,0.052732455737467085
106,solid,0.06351172924041748,0.05283319661132643
107,solid,0.06266530603170395,0.052924234661515114
108,solid,0.06118311360478401,0.05300000419310474
109,solid,0.05791258439421654,0.05304466401311484
110,solid,0.056667521595954895,0.05307730236971701
111,solid,0.05541367083787918,0.05309816280246845
112,solid,0.05346738174557686,0.05310143022674375
113,solid,0.054115619510412216,0.05311032662396891
114,solid,0.0563337504863739,0.053138356396685474
