step,method,mse,rolling_mse
0,clser,1.3030229806900024,1.3030229806900024
1,clser,1.3351482152938843,1.3190855979919434
2,clser,1.3336082696914673,1.3239264885584514
3,clser,1.2832690477371216,1.313762128353119
4,clser,1.2478665113449097,1.300583004951477
5,clser,1.3338255882263184,1.306123435497284
6,clser,1.3681343793869019,1.3149821417672294
7,clser,1.2966703176498413,1.3126931637525558
8,clser,1.3073506355285645,1.3120995495054457
9,clser,1.3372628688812256,1.3146158814430238
10,clser,1.271686315536499,1.3107131936333396
11,clser,1.246262550354004,1.305342306693395
12,clser,1.3001213073730469,1.3049406913610606
13,clser,1.239146113395691,1.3002410786492484
14,clser,1.2643206119537354,1.2978463808695475
15,clser,1.19181227684021,1.291219249367714
16,clser,1.1647717952728271,1.2837811638327206
17,clser,1.1454373598098755,1.2760953969425626
18,clser,1.1895607709884644,1.2715409429449784
19,clser,1.1570954322814941,1.2658186674118042
20,clser,1.1522525548934937,1.2604107572918846
21,clser,1.1426736116409302,1.2550590688532048
22,clser,1.188417673110962,1.2521616168644116
23,clser,1.0666124820709229,1.244430402914683
24,clser,1.0478569269180298,1.236567463874817
25,clser,1.0456498861312866,1.2292244801154504
26,clser,0.992662787437439,1.2204629359421906
27,clser,0.9564041495323181,1.2110322649989809
28,clser,0.9865319132804871,1.2032908735604122
29,clser,0.9311637878417969,1.194219970703125
30,clser,0.8682264089584351,1.183704049356522
31,clser,0.8260220885276794,1.1725264880806208
32,clser,0.7801970839500427,1.160637718258482
33,clser,0.7414510846138,1.1483086996218737
34,clser,0.7280115485191345,1.136300209590367
35,clser,0.6986995935440063,1.1241446369224124
36,clser,0.7245135307312012,1.1133437962145418
37,clser,0.6606324315071106,1.101430339248557
38,clser,0.680857241153717,1.0906464136563814
39,clser,0.6632772088050842,1.079962183535099
40,clser,0.6286959052085876,1.0689556889417695
41,clser,0.6298863887786865,1.0585016579855056
42,clser,0.5967642068862915,1.0477635777273844
43,clser,0.5784262418746948,1.0370968200943687
44,clser,0.5490843057632446,1.026252097553677
45,clser,0.5412580370903015,1.0157087484131688
46,clser,0.5316393971443176,1.0054094005138317
47,clser,0.49676793813705444,0.994812703380982
48,clser,0.49414899945259094,0.9845950767701986
49,clser,0.49454835057258606,0.9747941422462464
50,clser,0.4881836175918579,0.9652527594098858
51,clser,0.4877922534942627,0.9560708266038161
52,clser,0.517278790473938,0.9477917315824976
53,clser,0.5097662806510925,0.939680149157842
54,clser,0.5254148840904236,0.9321480534293435
55,clser,0.5471133589744568,0.9252724338855062
56,clser,0.5824569463729858,0.9192581270870409
57,clser,0.5929439663887024,0.9136320208681041
58,clser,0.5617743134498596,0.9076683309118626
59,clser,0.6186098456382751,0.9028506894906362
60,clser,0.6245867013931274,0.8982889847677262
61,clser,0.650395929813385,0.8942907096878174
62,clser,0.6552732586860657,0.8904967818941388
63,clser,0.738498330116272,0.8881218060851097
64,clser,0.7288545966148376,0.8856715413240286
65,clser,0.863129198551178,0.8853299906759551
66,clser,0.892162561416626,0.8854319693437264
67,clser,0.8758637309074402,0.8852912599549574
68,clser,0.9116161465644836,0.8856727800507477
69,clser,0.8722420930862427,0.8854809130941118
70,clser,0.89439457654953,0.8856064576498219
71,clser,0.8953851461410522,0.8857422727677557
72,clser,0.9474577903747559,0.8865876908171667
73,clser,0.8745654821395874,0.88642522853774
74,clser,0.9309468269348145,0.8870188498497009
75,clser,1.0219343900680542,0.8887940543262582
76,clser,1.0186477899551392,0.8904804664772826
77,clser,1.0232447385787964,0.8921825725298661
78,clser,1.1220701932907104,0.8950925424129148
79,clser,1.1489067077636719,0.8982652194797993
80,clser,1.1503149271011353,0.9013769442652478
81,clser,1.2661579847335815,0.9058254935392519
82,clser,1.23467218875885,0.9097875019153917
83,clser,1.3725025653839111,0.9152960145757312
84,clser,1.370948314666748,0.9206566298709197
85,clser,1.3744021654129028,0.9259327407493148
86,clser,1.465162754058838,0.9321307868793093
87,clser,1.5172030925750732,0.9387793358076703
88,clser,1.5014028549194336,0.9451009483819597
89,clser,1.565951943397522,0.9519992927710216
90,clser,1.6142385005950928,0.9592766467031542
91,clser,1.6329368352890015,0.9665990400573482
92,clser,1.5696347951889038,0.9730832954888703
93,clser,1.692486047744751,0.9807365162575499
94,clser,1.6442019939422607,0.9877203633910732
95,clser,1.6528267860412598,0.9946485552936792
