step,method,mse,rolling_mse
0,er,0.7946777939796448,0.7946777939796448
1,er,0.7431192994117737,0.7688985466957092
2,er,0.7448318004608154,0.7608762979507446
3,er,0.7617266774177551,0.7610888928174973
4,er,0.6851928234100342,0.7459096789360047
5,er,0.8130304217338562,0.7570964694023132
6,er,0.8342095613479614,0.7681126253945487
7,er,1.0653458833694458,0.8052667826414108
8,er,1.2390377521514893,0.8534635570314195
9,er,1.501014232635498,0.9182186245918273
10,er,1.5874760150909424,0.9790602055462924
11,er,1.6532787084579468,1.0352450807889302
12,er,1.947369933128357,1.1054085309688861
13,er,1.8936489820480347,1.1617114203316825
14,er,2.0862412452697754,1.223346741994222
15,er,2.1208043098449707,1.2794378399848938
16,er,2.2623238563537598,1.33725466447718
17,er,2.1937873363494873,1.3848398129145305
18,er,2.2496097087860107,1.4303540179603977
19,er,2.154446840286255,1.4665586590766906
20,er,2.177489757537842,1.500412520908174
21,er,2.075629949569702,1.5265587676655163
22,er,2.0905282497406006,1.5510791799296504
23,er,2.1006975173950195,1.5739799439907074
24,er,2.1587162017822266,1.5973693943023681
25,er,2.140716791152954,1.6182673711043138
26,er,2.132992744445801,1.6373312738206651
27,er,2.128657579421997,1.6548786418778556
28,er,1.91224205493927,1.6637532423282493
29,er,1.8190267086029053,1.6689290245374044
30,er,1.7861799001693726,1.672711310848113
31,er,1.65521240234375,1.6721644699573517
32,er,1.6574417352676392,1.6717183264819058
33,er,1.6101629734039307,1.669907874920789
34,er,1.4525926113128662,1.663698867389134
35,er,1.251656174659729,1.6522532370355394
36,er,1.1210112571716309,1.6378953456878662
37,er,1.158608078956604,1.6252825228791488
38,er,1.1161978244781494,1.6122290690739949
39,er,1.0949184894561768,1.5992963045835495
40,er,1.091757893562317,1.5869173189488852
41,er,1.1418253183364868,1.576319890362876
42,er,1.2067078351974487,1.5677242611729822
43,er,1.1569032669067383,1.5583874203942039
44,er,1.092042326927185,1.5480241960949368
45,er,1.1241081953048706,1.5388086308603701
46,er,1.0984081029891968,1.529438406863111
47,er,1.0731972455978394,1.5199333826700847
48,er,1.142792820930481,1.5122366365121336
49,er,0.9056416153907776,1.5001047360897064
50,er,0.8391679525375366,1.4871451913141738
51,er,0.7924461364746094,1.4737855941057205
52,er,0.7229212522506714,1.4596183423726063
53,er,0.7103066444396973,1.4457421998182933
54,er,0.6819168925285339,1.4318544669584794
55,er,0.5819674134254456,1.4166779124311037
56,er,0.5922102332115173,1.4022135671816374
57,er,0.5185985565185547,1.3869788256184807
58,er,0.543830394744873,1.3726881742477417
59,er,0.5219594836235046,1.3585093627373377
60,er,0.4600869417190552,1.343781126327202
61,er,0.3717102110385895,1.3281025631773857
62,er,0.35369187593460083,1.3126357268719446
63,er,0.33045339584350586,1.2972891279496253
64,er,0.3330095410346985,1.2824540573817034
65,er,0.2766161859035492,1.2672140896320343
66,er,0.2698298394680023,1.2523277575400338
67,er,0.260678768157959,1.237744684166768
68,er,0.22119517624378204,1.2230120826026667
69,er,0.21718010306358337,1.208643054323537
70,er,0.21498772501945496,1.194647908840381
71,er,0.22026683390140533,1.1811148383551173
72,er,0.19299763441085815,1.167578986246292
73,er,0.1688949167728424,1.1540832555777318
74,er,0.14898009598255157,1.1406818801164627
75,er,0.14282308518886566,1.1275521591305733
76,er,0.12869997322559357,1.114580052820119
77,er,0.11461663246154785,1.101760008969368
78,er,0.0953616127371788,1.0890207887638974
79,er,0.11255156248807907,1.0768149234354496
80,er,0.09559959918260574,1.0647011540002294
81,er,0.1220996230840683,1.0532060133793004
82,er,0.13788866996765137,1.0421780935791602
83,er,0.13467593491077423,1.0313744964521556
84,er,0.1670554131269455,1.0212060366483295
85,er,0.20364034175872803,1.0116994588007762
86,er,0.21454009413719177,1.0025367074828038
87,er,0.2203381061553955,0.9936480870131742
88,er,0.2151997983455658,0.9849014770281449
89,er,0.25805842876434326,0.9768254431585471
90,er,0.21299302577972412,0.9684316803302083
91,er,0.1973460465669632,0.9600503147458253
92,er,0.1992427408695221,0.9518695881450048
93,er,0.18916361033916473,0.9437556947640916
94,er,0.22600559890270233,0.9362004305971297
95,er,0.1947600245475769,0.9284770930341134
96,er,0.20661690831184387,0.921035235459657
97,er,0.18870727717876434,0.9135625011914846
98,er,0.2140650600194931,0.9064968704725757
99,er,0.19221697747707367,0.8993540715426207
100,er,0.18951226770877838,0.8923259348709984
101,er,0.20837517082691193,0.8856205352235074
102,er,0.20063422620296478,0.8789701827087448
103,er,0.21039582788944244,0.8725415831431746
104,er,0.22471033036708832,0.8663717616881643
105,er,0.25140371918678284,0.8605701763815475
106,er,0.2359590381383896,0.854732689108247
107,er,0.29624444246292114,0.8495615016393088
108,er,0.42286714911460876,0.8456468745519262
109,er,0.3199135959148407,0.8408674811097708
110,er,0.3641493320465088,0.8365727230101019
111,er,0.408072292804718,0.8327468263118395
112,er,0.39027658104896545,0.8288311604245574
113,er,0.41284891963005066,0.8251821934000442
114,er,0.378169983625412,0.8212951307063517
115,er,0.42464157938957214,0.8178757035398277
116,er,0.43440932035446167,0.814598213085252
117,er,0.4721304178237915,0.8116959436338836
118,er,0.5337220430374146,0.809360028502821
119,er,0.556303858757019,0.8072512270882726
120,er,0.5703752040863037,0.8052935740056116
121,er,0.6010468006134033,0.8036194201253477
122,er,0.5695903301239014,0.8017167445968806
123,er,0.5628039240837097,0.7997900283024195
124,er,0.6383092403411865,0.7984981819987297
