step,method,mse,rolling_mse
0,frozen,1.0280247926712036,1.0280247926712036
1,frozen,1.096041202545166,1.0620329976081848
2,frozen,1.103843331336975,1.0759697755177815
3,frozen,1.106331467628479,1.083560198545456
4,frozen,1.0504412651062012,1.076936411857605
5,frozen,1.0323865413665771,1.0695114334424336
6,frozen,1.0292781591415405,1.0637638228280204
7,frozen,1.0207327604293823,1.0583849400281906
8,frozen,0.9937805533409119,1.0512066748407152
9,frozen,1.0434693098068237,1.050432938337326
10,frozen,1.0446557998657227,1.0499077439308167
11,frozen,1.041940689086914,1.0492438226938248
12,frozen,1.025119423866272,1.04738809970709
13,frozen,0.9819614887237549,1.0427147703511375
14,frozen,0.934938907623291,1.0355297128359477
15,frozen,0.8958061933517456,1.026796992868185
16,frozen,0.8879660367965698,1.018630466040443
17,frozen,0.8656593561172485,1.01013207104471
18,frozen,0.8849924206733704,1.0035457736567448
19,frozen,0.8194366693496704,0.994340318441391
20,frozen,0.8490827083587646,0.9874232893898374
21,frozen,0.7880358695983887,0.9783602248538624
22,frozen,0.8196296691894531,0.9714588963467142
23,frozen,0.7056487798690796,0.9603834748268127
24,frozen,0.6667213439941406,0.9486369895935058
25,frozen,0.671004056930542,0.9379587998756995
26,frozen,0.6152803897857666,0.9260077476501465
27,frozen,0.5565065145492554,0.9128112750394004
28,frozen,0.5740176439285278,0.9011287360355772
29,frozen,0.4841255843639374,0.8872286309798558
30,frozen,0.4508729577064514,0.8731526415194234
31,frozen,0.39640772342681885,0.8582543628290296
32,frozen,0.384270578622818,0.8438912178530837
33,frozen,0.36418962478637695,0.8297823474687689
34,frozen,0.3435087203979492,0.8158888152667454
35,frozen,0.3221948742866516,0.8021750946839651
36,frozen,0.3614083230495453,0.7902624792343861
37,frozen,0.3175598382949829,0.7778229360517702
38,frozen,0.3604866564273834,0.7671220058049911
39,frozen,0.30935272574424744,0.7556777738034726
40,frozen,0.27186059951782227,0.7438773549184566
41,frozen,0.3035193383693695,0.7333926402387165
42,frozen,0.3125663101673126,0.7236059813998467
43,frozen,0.304548054933548,0.7140819376165216
44,frozen,0.3356891870498657,0.7056732098261516
45,frozen,0.371064692735672,0.6983991116285324
46,frozen,0.3452490568161011,0.6908852806750764
47,frozen,0.37180155515670776,0.6842377030601104
48,frozen,0.37084248661994934,0.6778418823164336
49,frozen,0.313032865524292,0.6705457019805908
50,frozen,0.3339100480079651,0.6639450028830883
51,frozen,0.33698898553848267,0.6576573871649228
52,frozen,0.3934316039085388,0.65267199502801
53,frozen,0.37424713373184204,0.6475159790780809
54,frozen,0.3769814372062683,0.6425971692258662
55,frozen,0.371108740568161,0.6377491615712643
56,frozen,0.3881532549858093,0.6333702860171335
57,frozen,0.437073290348053,0.6299858550573217
58,frozen,0.45508143305778503,0.627021373328516
59,frozen,0.45389458537101746,0.6241359268625577
60,frozen,0.45795226097106934,0.6214116044708939
61,frozen,0.43168485164642334,0.6183514955543703
62,frozen,0.4356795847415924,0.6154519414144849
63,frozen,0.42524006962776184,0.6124798809178174
64,frozen,0.47644534707069397,0.6103870419355539
65,frozen,0.41086408495903015,0.6073639668298491
66,frozen,0.4088471829891205,0.6044010297575994
67,frozen,0.41218724846839905,0.6015743565033463
68,frozen,0.4048239588737488,0.5987229014652363
69,frozen,0.4127025008201599,0.5960654671703066
70,frozen,0.3761885166168213,0.5929686087118068
71,frozen,0.3796541094779968,0.5900059073335595
72,frozen,0.3661579191684723,0.5869394965367775
73,frozen,0.408659964799881,0.584530313675468
74,frozen,0.3720458149909973,0.5816971870263418
75,frozen,0.34227147698402405,0.5785468487363112
76,frozen,0.3465765714645386,0.5755342477327817
77,frozen,0.31049177050590515,0.5721362672555141
78,frozen,0.2921028435230255,0.5685915403728243
79,frozen,0.27611181139945984,0.5649355437606574
80,frozen,0.2416505515575409,0.5609443710174089
81,frozen,0.2284436672925949,0.5568894843866186
82,frozen,0.27136629819869995,0.5534494459988123
83,frozen,0.24865438044071198,0.5498209333135968
84,frozen,0.23760485649108887,0.5461478029980379
85,frozen,0.2423090785741806,0.5426147945745047
86,frozen,0.23621906340122223,0.5390930045610187
87,frozen,0.21443389356136322,0.5354036964814771
88,frozen,0.23241962492465973,0.5319993810707264
89,frozen,0.24173086881637573,0.5287741753790114
90,frozen,0.28310656547546387,0.5260745313141372
91,frozen,0.3406482934951782,0.5240590287291486
92,frozen,0.42552340030670166,0.5229995058428857
93,frozen,0.3708670139312744,0.5213810750778686
94,frozen,0.44843387603759766,0.5206132098248131
95,frozen,0.3946281969547272,0.5193008659407496
96,frozen,0.4231894612312317,0.5183100267169402
97,frozen,0.4871991276741028,0.5179925685634419
98,frozen,0.5054015517234802,0.5178653865751593
99,frozen,0.5036065578460693,0.5177227982878685
100,frozen,0.5187233090400696,0.51773270433492
101,frozen,0.5581540465354919,0.518128992003553
102,frozen,0.5602414608001709,0.5185378509239086
103,frozen,0.5409426093101501,0.518753281293007
104,frozen,0.5565754771232605,0.5191134926818666
105,frozen,0.5644645690917969,0.5195413330253565
106,frozen,0.5801349878311157,0.5201076288646627
107,frozen,0.6571007370948792,0.521376083570498
108,frozen,0.7842584252357483,0.5237878481729314
109,frozen,0.6678319573402405,0.5250973400744525
110,frozen,0.7180273532867432,0.5268354483015902
111,frozen,0.7492914199829102,0.5288216623344592
112,frozen,0.7301480174064636,0.5306033114943884
113,frozen,0.7745975255966187,0.5327436116180921
114,frozen,0.7435522079467773,0.5345767298470373
115,frozen,0.7484030723571777,0.5364200603859178
116,frozen,0.8912376165390015,0.5394526890709869
117,frozen,0.8276221752166748,0.5418948033603571
118,frozen,0.8245998024940491,0.5442704756219848
119,frozen,0.7914507389068604,0.5463303111493587
120,frozen,0.9634730815887451,0.549777772062081
121,frozen,0.8931007385253906,0.5525918947380097
122,frozen,1.0002739429473877,0.5562315861868664
123,frozen,1.0016587972640991,0.5598237411149086
124,frozen,1.0282485485076904,0.5635711395740509
125,frozen,1.0594491958618164,0.5675066797033189
126,frozen,1.044693112373352,0.5712640531889097
127,frozen,1.008155345916748,0.5746772664133459
128,frozen,1.1192129850387573,0.5788984735344731
129,frozen,1.2183340787887573,0.5838172089595061
130,frozen,1.1764204502105713,0.5883408978240181
131,frozen,1.2283974885940552,0.5931898113904577
132,frozen,1.0937680006027222,0.5969535571740086
133,frozen,1.0290396213531494,0.6001780800410171
134,frozen,0.9853028655052185,0.6030308562296408
135,frozen,0.8854407668113708,0.6051073996898007
136,frozen,0.8060562014579773,0.6065741792647508
137,frozen,0.8982269167900085,0.6086876048989918
138,frozen,0.8473554849624634,0.610404640007362
139,frozen,0.8546431064605713,0.6121492004820279
140,frozen,0.7644371390342712,0.6132292567838168
141,frozen,0.8101289868354797,0.614615874601082
142,frozen,0.8186437487602234,0.6160426429518453
143,frozen,0.76219242811203,0.6170575720154576
144,frozen,0.669276237487793,0.6174177007428531
145,frozen,0.6373639106750488,0.617554318619101
146,frozen,0.5614604949951172,0.6171727279822031
147,frozen,0.5216292142868042,0.6165271637004774
148,frozen,0.3977126181125641,0.6150586097032432
149,frozen,0.3645194172859192,0.613388348420461
150,frozen,0.3918516933917999,0.6119212182547082
151,frozen,0.39100465178489685,0.6104678197910911
152,frozen,0.34683114290237427,0.6087447042558708
153,frozen,0.37178388237953186,0.6072059976203101
154,frozen,0.3982284963130951,0.6058577556763926
155,frozen,0.44819867610931396,0.6048471205509626
156,frozen,0.4308619201183319,0.6037389345609459
157,frozen,0.32178395986557007,0.601954409404646
158,frozen,0.3884710967540741,0.6006117470609317
159,frozen,0.3647577166557312,0.5991376593708992
160,frozen,0.2929580509662628,0.5972359226727337
161,frozen,0.2877364754676819,0.5953254322578878
162,frozen,0.30661672353744507,0.5935542131859832
163,frozen,0.34007957577705383,0.5920086361286117
164,frozen,0.3648471236228943,0.5906318996891831
165,frozen,0.4520857632160187,0.5897972844092243
166,frozen,0.39257946610450745,0.5886163393894356
167,frozen,0.33352839946746826,0.587097958794662
168,frozen,0.35038572549819946,0.585697294692316
169,frozen,0.5046663284301758,0.5852206419495976
170,frozen,0.4006830155849457,0.5841414745439563
171,frozen,0.35833504796028137,0.5828286464824233
172,frozen,0.344818651676178,0.5814528661656242
173,frozen,0.25160276889801025,0.5795571759514425
174,frozen,0.19864316284656525,0.577380524447986
175,frozen,0.1686943769454956,0.5750584440644492
176,frozen,0.2494615912437439,0.5732189138225243
177,frozen,0.18149901926517487,0.5710182402575954
178,frozen,0.22412917017936707,0.5690803124917952
179,frozen,0.2100304514169693,0.5670855910413795
180,frozen,0.20613141357898712,0.5650913690664492
181,frozen,0.23826338350772858,0.5632956109040386
182,frozen,0.23966443538665771,0.5615271345350912
183,frozen,0.27710458636283875,0.5599813598167637
184,frozen,0.26722294092178345,0.5583988818767909
185,frozen,0.3071097433567047,0.5570478650030269
186,frozen,0.338960200548172,0.5558816208080812
187,frozen,0.32415997982025146,0.5546490588879331
188,frozen,0.30611321330070496,0.5533340544139267
189,frozen,0.26966139674186707,0.551841040426179
190,frozen,0.29731377959251404,0.5505084369663169
191,frozen,0.3030368387699127,0.5492195223923773
192,frozen,0.2825086712837219,0.5478376008840422
193,frozen,0.28607842326164246,0.5464883267725866
194,frozen,0.26472535729408264,0.5450433884675686
195,frozen,0.2959054708480835,0.5437722766429794
196,frozen,0.2870441675186157,0.5424690882717897
197,frozen,0.2850657105445862,0.5411690712125614
198,frozen,0.29112282395362854,0.5399125574072402
199,frozen,0.27428269386291504,0.5385844080895186
200,frozen,0.27741730213165283,0.5372850692539073
201,frozen,0.24595768749713898,0.5358428544927352
202,frozen,0.2642207741737366,0.5345048146882081
203,frozen,0.2605022192001343,0.5331616647103253
204,frozen,0.2488464117050171,0.5317747610371287
205,frozen,0.2579152584075928,0.5304453459758203
206,frozen,0.26833492517471313,0.5291791120589068
207,frozen,0.25526076555252075,0.5278621969314722
208,frozen,0.2702859342098236,0.5266297746217993
209,frozen,0.24809890985488892,0.5253034371705282
210,frozen,0.23983822762966156,0.5239505214855005
211,frozen,0.25488555431365967,0.5226813471120484
212,frozen,0.2508999705314636,0.5214053782079141
213,frozen,0.2700367867946625,0.520230758621871
214,frozen,0.2725650370121002,0.5190788250329883
215,frozen,0.28258195519447327,0.5179839321170692
216,frozen,0.29625970125198364,0.5169621614679214
217,frozen,0.31882867217063904,0.5160532922509613
218,frozen,0.33366304636001587,0.5152204600779433
219,frozen,0.33339789509773254,0.5143939938734878
220,frozen,0.35758155584335327,0.513684435330365
221,frozen,0.3915547728538513,0.5131343017156059
222,frozen,0.4362788498401642,0.5127896584336533
223,frozen,0.46672913432121277,0.5125840310938656
224,frozen,0.4973415732383728,0.5125162868367301
225,frozen,0.5364452004432678,0.5126221669854316
226,frozen,0.6137427687644958,0.5130676321915068
227,frozen,0.6829128861427307,0.5138125675158542
228,frozen,0.7388704419136047,0.5147953529935737
229,frozen,0.7755502462387085,0.5159290699207264
230,frozen,0.8418593406677246,0.5173400234737437
231,frozen,0.9306049942970276,0.5191213380031544
232,frozen,1.0540939569473267,0.5214173578269492
233,frozen,1.1263086795806885,0.5240023634754695
234,frozen,1.2553834915161133,0.5271146235947913
235,frozen,1.3810588121414185,0.5307330311733788
236,frozen,1.6684410572052002,0.5355334869794202
237,frozen,1.8625835180282593,0.5411093274460119
238,frozen,2.0872387886047363,0.5475784883713622
239,frozen,2.3028652667999268,0.5548921832814813
240,frozen,2.6588423252105713,0.5636222668579505
241,frozen,2.703160524368286,0.5724633340377453
242,frozen,2.7517788410186768,0.5814317106096832
243,frozen,2.9918978214263916,0.5913106700802435
244,frozen,3.232607126235962,0.6020914719421037
245,frozen,3.1568894386291504,0.6124768295302624
246,frozen,3.2863261699676514,0.6233021305036931
247,frozen,3.302652359008789,0.6341059620702459
248,frozen,3.4802968502044678,0.6455364475647608
249,frozen,3.273470640182495,0.6560481843352318
250,frozen,3.214095115661621,0.6662396063723887
251,frozen,3.517195224761963,0.677552922318379
252,frozen,3.3638341426849365,0.6881706346518437
253,frozen,2.8834192752838135,0.6968133458354342
254,frozen,3.0445234775543213,0.7060200522343317
255,frozen,2.9015235900878906,0.7145962379290722
256,frozen,2.939061403274536,0.7232517444090156
257,frozen,2.7694456577301025,0.7311827285691749
258,frozen,3.1251044273376465,0.7404256694910609
259,frozen,2.9705278873443604,0.7490029857135736
260,frozen,3.0469822883605957,0.75780750411452
261,frozen,3.270798921585083,0.7673990744102093
262,frozen,3.1814053058624268,0.7765778053282785
263,frozen,3.2056875228881836,0.7857789785008539
264,frozen,3.479149580001831,0.7959426411480274
265,frozen,3.4792912006378174,0.8060304176874626
266,frozen,3.2271292209625244,0.815098203467519
267,frozen,3.4207794666290283,0.8248208947479725
268,frozen,3.2655773162841797,0.8338943386942037
269,frozen,3.239577293395996,0.8428042755634696
270,frozen,3.517674684524536,0.8526746460762411
271,frozen,3.4574739933013916,0.8622511142645689
272,frozen,3.118913173675537,0.8705172756543527
273,frozen,2.975554943084717,0.878199894878551
274,frozen,2.8045926094055176,0.8852049592950127
275,frozen,2.6915321350097656,0.8917496229751386
276,frozen,2.4775702953338623,0.8974746073518849
277,frozen,2.370518922805786,0.9027733279110717
278,frozen,2.5431742668151855,0.9086529011687925
279,frozen,2.7931137084960938,0.9153831183378186
280,frozen,2.4718894958496094,0.9209222869410634
281,frozen,2.266969919204712,0.9256955054951898
282,frozen,2.2783713340759277,0.9304752787410581
283,frozen,2.025362968444824,0.9343305170850854
284,frozen,2.0221335887908936,0.9381473699682638
285,frozen,1.8263790607452393,0.9412530751807706
286,frozen,1.5654526948928833,0.9434279867477118
287,frozen,1.5824193954467773,0.9456467069168057
288,frozen,1.4498556852340698,0.9473913746618482
289,frozen,1.3697420358657837,0.9488477562522066
290,frozen,1.3241924047470093,0.9501376004051098
291,frozen,1.2062197923660278,0.951014594213195
292,frozen,1.1894758939743042,0.9518284553045299
293,frozen,1.0724824666976929,0.9522388430983841
294,frozen,1.0407686233520508,0.9525389440483966
295,frozen,1.1228951215744019,0.9531144716751736
296,frozen,1.0063810348510742,0.9532938203727356
297,frozen,0.840074360370636,0.9529138892989031
298,frozen,0.9185184836387634,0.9527988544973641
299,frozen,0.7816386818885803,0.9522283205886682
300,frozen,0.6816848516464233,0.9513295050772321
301,frozen,0.6125721335411072,0.9502077919264503
302,frozen,0.577877402305603,0.9489789787593848
303,frozen,0.5689392685890198,0.9477288481338244
304,frozen,0.47132599353790283,0.9461668715613787
305,frozen,0.4524613320827484,0.944553454765697
306,frozen,0.4506074786186218,0.9429445102179866
307,frozen,0.3316819965839386,0.9409598916672267
308,frozen,0.2883909046649933,0.9388480179228829
309,frozen,0.25224435329437256,0.9366331673918232
310,frozen,0.24495604634284973,0.9344091252019551
311,frozen,0.25092533230781555,0.9322184720196021
312,frozen,0.23684006929397583,0.929996815780862
313,frozen,0.17380291223526,0.9275885549415449
314,frozen,0.17105832695960999,0.9251868716781102
315,frozen,0.1406795084476471,0.922704253440039
316,frozen,0.13385871052742004,0.9202157816958352
317,frozen,0.1119585707783699,0.9176740923533274
318,frozen,0.12474317848682404,0.915188415507351
319,frozen,0.10490131378173828,0.9126562683144585
320,frozen,0.11664984375238419,0.9101764975214302
321,frozen,0.11821859329938889,0.9077170009244673
322,frozen,0.11979470402002335,0.9052776130083545
323,frozen,0.1241537556052208,0.9028667369052584
324,frozen,0.12096638977527618,0.9004608896833199
325,frozen,0.11148121953010559,0.8980407066460402
326,frozen,0.1337711364030838,0.8957034908348996
327,frozen,0.14192694425582886,0.8934053916075244
328,frozen,0.13916552066802979,0.891112869203453
329,frozen,0.1374191790819168,0.8888289489303575
330,frozen,0.21438561379909515,0.8867913557728612
331,frozen,0.1946692168712616,0.8847066505352058
332,frozen,0.14868387579917908,0.8824963719323948
333,frozen,0.19270867109298706,0.8804311392951512
334,frozen,0.23824886977672577,0.8785141772965886
335,frozen,0.19110387563705444,0.8764683133035543
336,frozen,0.2569347023963928,0.874629934636174
337,frozen,0.3132239580154419,0.872968970208302
338,frozen,0.3052498996257782,0.8712942826844599
339,frozen,0.3489159047603607,0.8697578756905654
340,frozen,0.39441052079200745,0.8683638951776664
341,frozen,0.47354957461357117,0.8672094673397597
342,frozen,0.4305781126022339,0.8659364896291547
343,frozen,0.48878365755081177,0.864840115117299
344,frozen,0.47218385338783264,0.8637019810253296
345,frozen,0.46684783697128296,0.8625550037303756
346,frozen,0.4876672327518463,0.8614746355142991
347,frozen,0.43953362107276917,0.8602621613348695
348,frozen,0.4558016061782837,0.8591032485693778
349,frozen,0.4693954586982727,0.8579897977411747
350,frozen,0.4201083481311798,0.8567422722437104
351,frozen,0.43980666995048523,0.8555577961008318
