step,method,mse,rolling_mse
0,hmem,0.8312810063362122,0.8192810063362122
1,hmem,0.8361654877662659,0.821723247051239
2,hmem,0.8320717215538025,0.8211727385520935
3,hmem,0.8577645421028137,0.8273206894397736
4,hmem,0.7836199402809143,0.8161805396080018
5,hmem,0.8643847107887268,0.8222145681381226
6,hmem,0.8290183544158936,0.8214722518920898
7,hmem,0.9349616169929504,0.8341584225296974
8,hmem,0.9658181071281433,0.8474539430406358
9,hmem,1.145271897315979,0.8760357384681702
10,hmem,1.1286391019821167,0.8979087715148926
11,hmem,1.1517853736877441,0.9180651550292969
12,hmem,1.2405645847320557,0.9419497265448937
13,hmem,1.1504106521606445,0.9559826498031616
14,hmem,1.187998652458191,0.9706503833134969
15,hmem,1.1994636058807373,0.9842012097239494
16,hmem,1.2441108226776123,0.9987841281329883
17,hmem,1.2333766222000122,1.0111503778033786
18,hmem,1.2702537775039673,1.0241558198928833
19,hmem,1.1501964330673218,1.0298578505516052
20,hmem,1.1687743663787842,1.0359014941624232
21,hmem,1.0242490768432617,1.0348263842842795
22,hmem,1.1244776248931885,1.038202525180319
23,hmem,0.9643173217773438,1.0346239750385284
24,hmem,0.9178565144538879,1.0294732766151429
25,hmem,0.8989158272743225,1.023990297794342
26,hmem,0.8175207376480103,1.0158988326037373
27,hmem,0.7754977941513062,1.0068845098018646
28,hmem,0.6926010251045227,0.9956333551571286
29,hmem,0.6067573428153992,0.9822708214124044
30,hmem,0.5665141344070435,0.9684722186057798
31,hmem,0.48373377323150635,0.9529491421878338
32,hmem,0.506553590297699,0.9390583678881327
33,hmem,0.4767792522907257,0.9251089821352678
34,hmem,0.4400257170200348,0.9109066031319755
35,hmem,0.36519962549209595,0.8954147426419787
36,hmem,0.31432873010635376,0.8793853909518268
37,hmem,0.28751465678215027,0.8634940558420984
38,hmem,0.31068146228790283,0.8490116816484011
39,hmem,0.23756003379821777,0.8334253904521465
40,hmem,0.20935815572738647,0.8179115554588598
41,hmem,0.27968305349349976,0.8048108768406368
42,hmem,0.40247756242752075,0.7951752183659132
43,hmem,0.45838767290115356,0.7872482286962596
44,hmem,0.4378245770931244,0.7792165919939677
45,hmem,0.5503290295600891,0.7739799058541007
46,hmem,0.5130578875541687,0.7681730544009107
47,hmem,0.49838370084762573,0.7623024428685507
48,hmem,0.6213791966438293,0.7591815602925359
