step,method,mse,rolling_mse
0,online,0.7946777939796448,0.7946777939796448
1,online,0.7428235411643982,0.7687506675720215
2,online,0.7439693212509155,0.7604902187983195
3,online,0.7660647034645081,0.7618838399648666
4,online,0.6893169283866882,0.7473704576492309
5,online,0.8066172003746033,0.7572449147701263
6,online,0.8139166831970215,0.7653408816882542
7,online,1.025050401687622,0.7978045716881752
8,online,1.183320164680481,0.8406396375762092
9,online,1.4419142007827759,0.9007670938968658
10,online,1.5204575061798096,0.957102585922588
11,online,1.5948587656021118,1.010248934229215
12,online,1.9083257913589478,1.0793317693930407
13,online,1.8743081092834473,1.1361157936709267
14,online,2.0785634517669678,1.1989456375439962
15,online,2.127676248550415,1.2569913007318974
16,online,2.2817156314849854,1.3172692025409025
17,online,2.232257127761841,1.3681018650531769
18,online,2.2877581119537354,1.4165048254163641
19,online,2.194345474243164,1.4553968578577041
20,online,2.229890823364258,1.4922775228818257
21,online,2.153836488723755,1.52234838496555
22,online,2.1549408435821533,1.549852404905402
23,online,2.1869893074035645,1.5763997758428256
24,online,2.2767622470855713,1.6044142746925354
25,online,2.2891151905059814,1.6307489253007448
26,online,2.3233277797698975,1.6563999939847875
27,online,2.372328042984009,1.6819688528776169
28,online,2.1346306800842285,1.6975778814019828
29,online,2.05409574508667,1.7094618101914725
30,online,2.0519468784332275,1.7205097156186258
31,online,1.932682991027832,1.7271401304751635
32,online,1.9577243328094482,1.7341275305458994
33,online,1.9424010515213013,1.7402532223392935
34,online,1.7863597869873047,1.741570552757808
35,online,1.5683467388153076,1.7367587801482942
36,online,1.4078028202056885,1.7278680785282239
37,online,1.4932901859283447,1.7216949760913849
38,online,1.4130542278289795,1.7137811107513232
39,online,1.4648518562316895,1.7075578793883324
40,online,1.4560781717300415,1.7014242279820326
41,online,1.5342909097671509,1.6974448632626307
42,online,1.6361573934555054,1.6960195732671162
43,online,1.6105409860610962,1.6940768781033428
44,online,1.5435339212417603,1.6907314790619745
45,online,1.604282021522522,1.6888521430285082
46,online,1.5955482721328735,1.6868669542860477
47,online,1.534316897392273,1.6836888281007607
48,online,1.6369513273239136,1.6827350015542946
49,online,1.329944372177124,1.675679188966751
50,online,1.1788641214370728,1.6659377170544045
51,online,1.146267056465149,1.655944050504611
52,online,1.0387206077575684,1.6442983251697612
53,online,1.032297134399414,1.6329649697851252
54,online,0.9856105446815491,1.6211948893286965
55,online,0.8186454176902771,1.6068636487637247
56,online,0.8558171987533569,1.593687395254771
57,online,0.7438617944717407,1.579035229724029
58,online,0.7783820033073425,1.5654648360559495
59,online,0.7370978593826294,1.551658719778061
60,online,0.6412865519523621,1.536734585879279
61,online,0.5223026871681213,1.520372781061357
62,online,0.5019643306732178,1.5042075675631326
63,online,0.46485793590545654,1.4879677295684814
64,online,0.4720543324947357,1.4723382926904238
65,online,0.38073205947875977,1.455798804308429
66,online,0.3602820038795471,1.4394478072871024
67,online,0.3409747779369354,1.4232937921495998
68,online,0.3199443221092224,1.407303220120029
69,online,0.3121241331100464,1.391657804591315
70,online,0.28497132658958435,1.376070671098333
71,online,0.2824421525001526,1.3608813861178026
72,online,0.27441850304603577,1.345998332925039
73,online,0.29440879821777344,1.3317876635371029
74,online,0.2539907991886139,1.3174170386791229
75,online,0.23327749967575073,1.3031520447448681
76,online,0.2594478726387024,1.2895974451071257
77,online,0.20163483917713165,1.2756492065695615
78,online,0.19948700070381165,1.2620269001661977
79,online,0.24245481193065643,1.2492822490632534
80,online,0.1658322513103485,1.2359063231650693
81,online,0.1747797727584839,1.2229657554771842
82,online,0.20177343487739563,1.210662233542247
83,online,0.21149973571300507,1.1987674419014227
84,online,0.2082538604736328,1.1871143409434486
85,online,0.2298140674829483,1.1759829424148383
86,online,0.25013092160224915,1.165340965164119
87,online,0.21878165006637573,1.1545846093107353
88,online,0.23124538362026215,1.1442100112692695
89,online,0.23336626589298248,1.1340895252095329
90,online,0.19647638499736786,1.1237860841083003
91,online,0.1926715224981308,1.1136652736560158
92,online,0.22051216661930084,1.1040614768061587
93,online,0.19734281301498413,1.0944155335743377
94,online,0.22298844158649445,1.085242616816571
95,online,0.1935676783323288,1.07595433620736
96,online,0.21635423600673676,1.067092479504261
97,online,0.18157321214675903,1.0580565686128578
98,online,0.19157640635967255,1.0493042437416134
99,online,0.166789710521698,1.0404790984094143
100,online,0.1785203069448471,1.031944852949369
101,online,0.18067032098770142,1.0235990242046469
102,online,0.17787611484527588,1.0153881221720316
103,online,0.19503116607666016,1.0075000745172684
104,online,0.20751799643039703,0.9998811975831077
105,online,0.26398906111717224,0.9929388189372027
106,online,0.23766833543777466,0.9858802162876753
107,online,0.32201486825942993,0.9797333149170434
108,online,0.4579271376132965,0.9749461022812292
109,online,0.35664528608322144,0.9693251857703382
110,online,0.44439253211021423,0.9645960627643911
111,online,0.500569224357605,0.960452965992902
112,online,0.48434650897979736,0.9562396345149099
113,online,0.5311228036880493,0.9525105395076567
114,online,0.5004591941833496,0.9485796582439672
115,online,0.5802050828933716,0.9454040153530138
116,online,0.5947932004928589,0.9424073417217304
117,online,0.6602287292480469,0.9400159975482245
118,online,0.7571950554847717,0.9384796871107166
119,online,0.8081042170524597,0.9373932248602311
120,online,0.8490298390388489,0.9366629489443519
121,online,0.9167828559875488,0.9364999973627387
122,online,0.9010114669799805,0.9362114727254806
123,online,0.885779082775116,0.9358047599033001
124,online,0.9993731379508972,0.936313306927681
125,online,1.0212446451187134,0.9369873651672923
126,online,1.031376838684082,0.937730589368212
127,online,1.0066214799880981,0.9382687994511798
128,online,1.0645997524261475,0.939248109164164
129,online,1.0321372747421265,0.9399626412070714
130,online,1.066609501838684,0.9409294111355571
131,online,1.0599724054336548,0.9418312520014517
132,online,1.1676832437515259,0.943529387277768
133,online,1.1747825145721436,0.9452551568844425
134,online,1.1869909763336182,0.9470457925840661
135,online,1.1193755865097046,0.9483129234217546
136,online,1.2427308559417725,0.9504619594255503
137,online,1.385813593864441,0.9536166814142379
138,online,1.338890552520752,0.9563884358826301
139,online,1.5956027507781982,0.9609542524175985
140,online,1.5201605558395386,0.9649202545695271
141,online,1.6614227294921875,0.9698252015760247
142,online,1.819098949432373,0.9757641788337614
143,online,1.6972949504852295,0.9807748091924522
